sp019-000001_lahari_2	भावना कीदृशी तस्य
sp019-000845_lahari_7	उपाहारगृहम् प्रविश्य त्रयः अपि यथारुचि पानीयम् पातुम् आरभन्त
sp019-000846_lahari_7	युवत्याः पतिः उक्तवान्
sp019-000847_lahari_7	रणरुद्धः इति मम नाम
sp019-000848_lahari_7	भवतः कथा श्रुता मया
sp019-000849_lahari_7	भवान् विरामकाले भारतम् गन्तुमिच्छति
sp019-000850_lahari_7	तत्र किञ्चिद् धनसाहाय्यमिच्छति च इति मया ज्ञातम्
sp019-000851_lahari_7	तादृशम् धनसाहाय्यम् कर्तुम् अहम् सिद्धः
sp019-000852_lahari_7	किन्तु तदर्थम् भवतापि मम साहाय्यम् किञ्चित् करणीयम् भवेत्
sp019-000853_lahari_7	रमेशः उक्तवान् किम् तत्कार्यम् उच्यताम्
sp019-000854_lahari_7	यदि मया शक्यम् अवश्यम् करिष्यामि
sp019-000855_lahari_7	रणरुद्धः अवदत्
sp019-000856_lahari_7	अस्माकम् देशे मम बन्धोः विवाहः अस्ति
sp019-000857_lahari_7	तदर्थम् कानिचन वस्त्राणि मया प्रेषणीयानि सन्ति
sp019-000858_lahari_7	अत्र कार्यान्तरव्यग्रः अहम् सम्प्रति प्रयाणम् कर्तुम् न शक्नोमि
sp019-000859_lahari_7	इयम् मम पत्नी अपि परीक्षासन्नाहव्यग्रा गमने असमर्था एव
sp019-000860_lahari_7	भवते अहम् तैलान्ड् मार्गतः प्रयाणपत्रम् क्रीत्वा दास्यामि
sp019-000861_lahari_7	ब्याङ्काक्नामके नगरे विमानम् विरमति
sp019-000862_lahari_7	भवान् विमानात् अवतीर्य स्थानके एव तिष्ठतु
sp019-000863_lahari_7	तदा मदीयः बन्धुः कश्चन आगत्य भवन्तम् नगरम् एष्यति
sp019-000864_lahari_7	तत्र दिनमेकम् मम बन्धुभिः करिष्यमाणम् सत्कारम् भवान् स्वीकरोतु
sp019-000865_lahari_7	मया दत्तानि वस्त्राणि तेभ्यः दत्त्वा अनन्तरदिने भवान् स्वदेशम् गन्तुमर्हति इति
sp019-000866_lahari_7	एतत् श्रुत्वा रमेशः सन्तोषनिर्भरः अभवत्
sp019-000867_lahari_7	अत्र मम प्रत्यागमनम् कथम् इति सः सलज्जम् अपृच्छत्
sp019-000868_lahari_7	प्रत्यागमनम् येन केनापि मार्गेण यथा शक्यते तथा प्रयाणपत्रम् कारयिष्यामि इति अवदत् रणवृद्धः
sp019-000869_lahari_7	ब्याङ्काक्नगरे माम् भवद्बन्धुः कथम् अभिज्ञास्यति
sp019-000870_lahari_7	अहम् वा तम् कथम् अभिज्ञास्यामि
sp019-000871_lahari_7	इति रमेशः अपृच्छत्
sp019-000872_lahari_7	चिन्ता मास्तु भवदीय् चित्रम् इदानीमेव गृहीत्वा तस्मै प्रेषयिष्यामि
sp019-000873_lahari_7	इति वदन् रणरुद्धः स्वस्यूततः चित्रग्राहिणीम् निष्कास्य
sp019-000874_lahari_7	क्षणमात्रेण रमेशस्य चित्रम् गृहीतवान्
sp019-000875_lahari_7	किम् वक्तव्यमिति अजानन् रमेशः तूष्णीम् स्थितवान्
sp019-000876_lahari_7	परीक्षानन्तरम् द्वित्रिदिनाभ्यन्तरे रमेशेन प्रयाणपत्रम् प्राप्तम्
sp019-000877_lahari_7	प्रयाणार्थम् सर्वाम् सिद्धताम् अपि शीघ्रम् अकरोत् सः
sp019-000878_lahari_7	प्रयाणदिने रणरुद्धः सपत्नीकः पेटिकामेकाम् आनीतवान्
sp019-000879_lahari_7	स्वकार्याने एव रमेशम् उपवेश्य सः विमानस्थानकम् नीतवान्
sp019-000880_lahari_7	तयोः कृते वन्दनम् समर्प्य
sp019-000881_lahari_7	ब्याङ्काक्नगरे तद्बन्धुविषये कथम् व्यवहर्तव्यमिति पुनः श्रुत्वा
sp019-000882_lahari_7	विमानम् आरूढवान् रमेशः
sp019-000883_lahari_7	विमानेन निश्चिते काले प्रस्थितम्
sp019-000884_lahari_7	आकाशे पक्षिवत् महता वेगेन सञ्चारम् कुर्वाणे विमाने उपविष्टः रमेशः स विस्मयम् दृष्टवान्
sp019-000885_lahari_7	पर्वतान् नदीः नगराणि अरण्यानि सरोवराम् च
sp019-000886_lahari_7	गगनसख्यः प्रयाणिकानाम् खेदस्य अपनयनाय मध्ये मध्ये पानीयानि खाद्यानि च वितरन्ति स्म
sp019-000887_lahari_7	विमानम् भूभागम् तीर्त्वा समुद्रस्य अपि डयनम् आरभत
sp019-000888_lahari_7	जनानाम् विनोदाय विमाने एव चलनचित्रम् प्रदर्श्यते स्म
sp019-000889_lahari_7	तत्पश्यन्तम् रमेशम् निद्रादेवी दृढम् आलिङ्गत्
sp019-000890_lahari_7	यदा सः निद्रातः उत्थितः तदा विमानम् शान्तिसागरम् अतीत्य पुनः भूभागस्य उपरि डयते स्म
sp019-000891_lahari_7	अचिरात् एव तेन ब्याङ्काक्नगरस्य विमानस्थानके अवतीर्णम्
sp019-000892_lahari_7	सर्वे प्रयाणिकाः ससम्भ्रमम् विमानात् अवतरितुम् सिद्धाः अभवन्
sp019-000893_lahari_7	रमेशः नूतने देशे पदम् विधातुम् भीतिम् अनुभवन् कम्पमानहृदयः सन् कथञ्चित् विमानात् अवतीर्णः
sp019-000894_lahari_7	तत्रत्यानाम् भाषा तेन न अवगम्यते स्म
sp019-000895_lahari_7	सुदैवात् तत्रतत्र आङ्ग्लभाषायाम् अपि मार्गदर्शकफलकानि आसन्
sp019-000896_lahari_7	तेषाम् साहाय्येन युक्तम् स्थलम् प्राप्य स्वीयस्य पेटिकाद्वयस्य प्रतीक्षाम् कुर्वन् स्थितवान् सः
sp019-000897_lahari_7	तद्द्वयम् प्राप्य सीमाशुल्कद्वारम् अतीत्य बहिः गन्तव्यम् आसीत् तेन
sp019-000898_lahari_7	सीमाशुल्कद्वारात् बहिः तिष्ठन् रणरुद्धस्य बन्धुः स्वागतम् करिष्यति इति चिन्तनम् आसीत् रमेशस्य
sp019-000899_lahari_7	पेटिकानाम् पङ्क्तौ स्वीये पेटिके लब्ध्वा रमेशः सीमाशुल्कद्वारस्य समीपमागत्य अनुपङ्क्तौ स्थितवान्
sp019-000900_lahari_7	यदा स्वीयः अवकाशः आगतः तदा सः
sp019-000901_lahari_7	पास्पोर्ट् सञ्ज्ञिकाम् स्वीयाम् परिचायिकपुस्तिकाम् दर्शितवान्
sp019-000902_lahari_7	परीक्षकैः स्वभाषया कश्चन प्रश्नः पृष्टः
sp019-000903_lahari_7	रमेशस्य तद्भाषा अनभिज्ञताम् अवगत्य अङ्ग्लभाषया एव सः प्रश्नः पुनः पृष्टः तैः
sp019-000904_lahari_7	किम् भवतः पेटिकयोः स्थितम् सर्वम् वस्तु सीयमेव
sp019-000905_lahari_7	आम् रमेशः अवदत्
sp019-000906_lahari_7	अत्र आगमनस्य उद्देशः कः
sp019-000907_lahari_7	स्वदेशम् गच्छन् मार्गेऽत्र दिनमेकम् स्थित्वा द्रष्टव्यम् दृष्ट्वा अग्रे यास्यामि
sp019-000908_lahari_7	पेटिकयोः मुद्राबन्धनम् मोच्यताम्
sp019-000909_lahari_7	अन्तः निषिद्धम् किमपि अस्ति वा इति द्रष्टुमिच्छामः वयम्
sp019-000910_lahari_7	एवम् अधिकारिभिः आदिष्टः रमेषः मुद्राबन्धनम् अपनीय स्वपेटिकाम् उद्घाटितवान्
sp019-000911_lahari_7	अधिकारिणः तत्रत्यानि वस्तूनि परीक्षितवन्तः
sp019-000912_lahari_7	ततः रमेशः द्वितीयाम् रणरुद्धेन दत्ताम् पेटिकाम् उद्घाटितवान्
sp019-000913_lahari_7	तत्र विविधानि वस्त्राणि आसन्
sp019-000914_lahari_7	इदानीम् इतः मम गमनम् अनुमन्यन्ते एते अधिकारिणः इति रमेशः चिन्तयन् आसीत्
sp019-000915_lahari_7	तावता कश्चन अधिकारी संशययुक्तया दृष्ट्या पेटिकाम् पश्यन् हस्तेन द्वित्रवारम् अघट्टयत्
sp019-000916_lahari_7	ततः स्वभाषया तत्रत्यम् सेवकम् किमपि अवदत्
sp019-000917_lahari_7	सः सेवकः गत्वा पुनः आगतः शुनकेन सः
sp019-000918_lahari_7	सः च शुनकः रमेशस्य पेटिकाम् आघ्राय उच्चैः अभषत्
sp019-000919_lahari_7	पुनः पुनः जिघ्रन् बहुवारम् अभषत् सः
sp019-000920_lahari_7	तदा अधिकारी आङ्ग्लभाषया रमेशमवदत्
sp019-000921_lahari_7	अयि भोः एतस्याम् पेटिकायाम् निषिद्धम् किमपि अस्तीति शुनकः भषणेन सूचयति इति
sp019-000922_lahari_7	ऋते वस्त्रेभ्यः किमन्यत् अस्ति तत्र
sp019-000923_lahari_7	भवद्भिः एव सर्वम् परीक्षितम् खलु
sp019-000924_lahari_7	रमेशः सधैर्यम् अवदत्
sp019-000925_lahari_7	भवता पेटिकायाम् चातुर्येण किमपि निगूहितमस्ति
sp019-000926_lahari_7	तदिदानीम् स्पष्टम् भविष्यति इति वदन् अधिकारी छुरिकया पेटिकायाः तलम् अच्छिनत्
sp019-000927_lahari_7	रमेशस्य शरीरे कम्पनम् उत्पन्नम्
sp019-000928_lahari_7	समग्रम् शरीरम् स्वेदेन आर्द्रम् जातम्
sp019-000929_lahari_7	रणरुद्धः माम् अवञ्चयत् इति स्वगतम् उक्तवान् सः
sp019-000930_lahari_7	पेटिकायाः तले निगूढम् स्थलमासीत्
sp019-000931_lahari_7	तत्र प्लास्टिक्मयेषु स्यूतेषु धवलम् किमपि चूर्णम् पूरितम् अदृश्यत
sp019-000932_lahari_7	हेरोविन् इति साश्चर्यम् उक्तवान् अधिकारी
sp019-000933_lahari_7	चौर्यण अस्मद्देशम् निषिद्धवस्तु आनयन्तम् भवन्तम् वयम् निगृह्णीमः
sp019-000934_lahari_7	इति उक्तवान् सः अधिकारी कठोरेण स्वरेण
sp019-000935_lahari_7	अहम् क्षन्तव्यः अहम् किमपि न जानामि
sp019-000936_lahari_7	परिचितः कश्चित् इदम् प्रेषितवान् वञ्चनया
sp019-000937_lahari_7	केवलानि वस्त्राणि सन्ति इति सः माम् उक्तवान् आसीत्
sp019-000938_lahari_7	अतः एषा पेटिका आनीता मया इति रमेशः दैन्येन अवदत्
sp019-000939_lahari_7	एतस्मिन् विषये दयाम् प्रदर्शयितुम् कमपि विमोक्तुम् वा मम अधिकारः नास्ति इव
sp019-000940_lahari_7	भवता घोरः अपराधः अनुष्ठितः
sp019-000941_lahari_7	अतः यद् वक्तव्यमस्ति तत् श्वः न्यायालये वक्तुमर्हति भवान् इति उक्त्वा
sp019-000942_lahari_7	अधिकारी भटेभ्यः निदेशम् दत्तवान्
sp019-000943_lahari_7	ते रमेशम् निगडेन बद्ध्वा कारगारम् नीतवन्तः
sp019-000944_lahari_7	अनन्तरदिने रमेशेन न्यायालये कृता अपि प्रार्थना व्यर्था जाता
sp019-000945_lahari_7	न्यायधीशः तम् उद्दिश्य रणरुद्धस्य बन्धोः नामधामादिकम् चित्रम् च दर्श्यताम्
sp019-000946_lahari_7	यदि सः गृह्यते भवतः कथनम् च यदि अवितथम् स्यात् तर्हि दण्डस्य न्यूनता स्यात् इति अकथयत्
sp019-000947_lahari_7	रमेशस्य समीपे तादृशम् किमपि न आसीत्
sp019-000948_lahari_7	रणरुद्धः स्वबन्धवे रमेशस्य चित्रम् प्रेषितवान् आसीत्
sp019-000949_lahari_7	मद्बन्धुः एव स्वयमागत्य भवन्तम् स्वागतीकरिष्यति इति उक्तवन् आसीत् सः
sp019-000950_lahari_7	अतः एव बन्धोः चित्रम् नामधामादिकम् वा न दत्तवान् आसीत्
sp019-000951_lahari_7	अतः किमपि वक्तुम् अशक्तः रमेशः तूष्णीम् अतिष्ठत्
sp019-000952_lahari_7	ततः न्यायधीशेन रमेश अपराधी इति निश्चित्य
sp019-000953_lahari_7	पाञ्चवार्षिककारागृहवासः दण्डत्वेन विहितः
sp019-000954_lahari_7	मुग्धा रमेशः अपरिचिते देशे कारागृहे कठिनम् दण्डम् अनुभवन् सम्प्रति दिनानि यापयति
sp019-000955_lahari_7	कदा मुक्तिः भविष्यति मुक्तेऽपि स्वदेशम् कथम् गमिष्यामि
sp019-000956_lahari_7	तत्र गतोऽपि मातापितृभ्याम् मित्रेभ्यः च कथम् मुखम् दर्शयिष्यामि
sp019-000957_lahari_7	नष्टोऽहम् मुषितोऽस्मि इति रुदन् एव दिनानि यापयति सः
