sp002-000001_KS_04	मूर्च्छिता रतिः इत्युक्तम्
sp002-001978_RV_05	सः अजः प्रणतैः नमस्कृतवद्भिः कर्तरि क्तः
sp002-001979_RV_05	तस्य भोजस्य अधिकारः नियोगः तस्य पुरुषैः
sp002-001980_RV_05	अधिकृतैरित्यर्थः
sp002-001981_RV_05	प्रदिष्टाम् निर्दिष्टाम् प्राग्द्वारस्य वेद्याम् विनिवेशितः प्रतिष्ठापितः पूर्णकुम्भो यस्यास्ताम्
sp002-001982_RV_05	स्थापितमङ्गलकलशामित्यर्थः
sp002-001983_RV_05	रम्याम् रमणीयाम् नवोपकार्याम् नूतन भवनम्
sp002-001984_RV_05	उपकार्या राजसद्मनि उपचारचितेऽन्यवत् इति विश्वः
sp002-001985_RV_05	मदनः मन्मथः बाल्यात्पराम् शैशवानन्तराम् दशाम् यौवनमिव इत्यर्थः
sp002-001986_RV_05	अध्युवास अधिष्ठितवान्
sp002-001987_RV_05	उपान्वध्याङ्वसः इति कर्मत्वम्
sp002-001988_RV_05	तत्रेति
sp002-001989_RV_05	तत्र उपकार्यायाम्
sp002-001990_RV_05	स्वयंवरनिमित्तम् समाहृतः सम्मेलितः राजलोको येन तत् कमनीयम् स्पृहणीयम् कन्याललाम कन्यासु श्रेष्ठम्
sp002-001991_RV_05	ललामोऽस्री ललामापि प्रभावे पुरुषे ध्वजे
sp002-001992_RV_05	श्रेष्ठभूषाशुण्डशृङ्गपुच्छचिह्नाश्वलिङ्गिषु इति यादवः
sp002-001993_RV_05	लिप्सोः लब्धुमिच्छोः
sp002-001994_RV_05	लभेः सन्नन्तादुप्रत्ययः
sp002-001995_RV_05	अजस्य भावावबोधे पुरुषस्य अभिप्रायपरिज्ञाने कलुषा असमर्था दयितेव
sp002-001996_RV_05	प्रियतमेव रात्रौ निद्रा चिरेण बहुकालेन नयनाभिमुखी बभूव
sp002-001997_RV_05	राजानम् कामिनम् चौरम् प्रविशन्ति प्रजागराः इति भावः
sp002-001998_RV_05	अभिमुखीशब्दः ङीषन्तः च्व्यन्तो वा
sp002-001999_RV_05	तमिति
sp002-002000_RV_05	कर्णभूषणाभ्याम् निपीडितौ पीवरौ पीनौ अंसौ यस्य तम्
sp002-002001_RV_05	शय्यायाः उत्तरच्छदस्य उपर्यास्तरणस्य वस्त्रस्य विमर्देन घर्षणेन कृशः विरलः अङ्गरागः यस्य तम्
sp002-002002_RV_05	न त्वङ्गनासङ्गादिति भावः
sp002-002003_RV_05	प्रथितप्रबोधम् प्रकृष्टज्ञानम् तमेनम् अजम् सवयसः समानवयस्काः उदारवाचः प्रगल्भगिरः सूतात्मजाः वन्दिपुत्राः
sp002-002004_RV_05	वैतालिका इति वा पाठः
sp002-002005_RV_05	वैतालिका बोधकराः इत्यमरः
sp002-002006_RV_05	वाग्भिः स्तुतिपाठैः उषसि प्रातःकाले प्राबोधयन् प्रबोधयामासुः
sp002-002007_RV_05	रात्रिरिति
sp002-002008_RV_05	हे मतिमताम् वर
sp002-002009_RV_05	बुद्धिमताम् श्रेष्ठ निर्धारणे षष्ठी
sp002-002010_RV_05	रात्रिः गता
sp002-002011_RV_05	शय्याम् मुञ्च
sp002-002012_RV_05	विनिद्रो भव इत्यर्थः
sp002-002013_RV_05	विनिद्रत्वस्य फलमाह धात्रेति
sp002-002014_RV_05	धात्रा ब्रह्मणा जगतः धूः भारः धूः स्याद् यानमुखे भारे इति यादवः
sp002-002015_RV_05	द्विधैव
sp002-002016_RV_05	द्वयोरेव इत्यर्थः
sp002-002017_RV_05	एवकारः तृतीयनिषेधार्थः
sp002-002018_RV_05	विभक्ता ननु विभज्य स्थापिता खलु
sp002-002019_RV_05	तत्किमत आह ताम् धुरम् एकतः एकत्र कोटौ तव गुरुः पिता विनिद्रः सन् बिभर्ति
sp002-002020_RV_05	तस्याः धुरः भवान्
sp002-002021_RV_05	धुरम् वहतीति धुर्यः भारवाही
sp002-002022_RV_05	तस्य पदम् वहनस्थानम्
sp002-002023_RV_05	अपरम् यद्धुर्यपदम् तत् अवलम्बत इति
sp002-002024_RV_05	अपर धुर्य पदावलम्बी अतो विनिद्रो भव इत्यर्थः
sp002-002025_RV_05	न हि उभयवाह्यमेको वहतीति भावः
sp002-002026_RV_05	निद्रेति
sp002-002027_RV_05	चन्द्रारविन्दराजवदनादयः लक्ष्मीनिवासस्थानानि इति प्रसिद्धिमाश्रित्य उच्यते
sp002-002028_RV_05	निद्रावशेन निद्राधीनेन
sp002-002029_RV_05	स्त्र्यन्तरासङ्गोऽत्र ध्वन्यते
sp002-002030_RV_05	भवता त्वया पर्युत्सुकत्वमपि
sp002-002031_RV_05	त्वय् अनुरक्तत्वमपि इत्यर्थः
sp002-002032_RV_05	प्रसितोत्सुकाभ्याम् तृतीया च इति सप्तम्यर्थे तृतीया
sp002-002033_RV_05	अपिशब्दः तद्विषयानुरागस्य अनपेक्ष्यत्व द्योतनार्थः
sp002-002034_RV_05	निशि खण्डिता भर्तुरन्यासङ्गज्ञानकलुषित अबलेव नायिकेव
sp002-002035_RV_05	ज्ञातेऽन्यासङ्गविकृते खण्डित ईर्ष्या कषायिता इति दशरूपके
sp002-002036_RV_05	अनवेक्षमाणा अविचारयन्ती सती
sp002-002037_RV_05	उपेक्षमाणा इत्यर्थः
sp002-002038_RV_05	ह्यनवेक्ष्यमाणा इति पाठे निद्रावशेन भवता अनवेक्ष्यमाणा अनिरीक्ष्यमाणा
sp002-002039_RV_05	कर्मणि शानच्
sp002-002040_RV_05	लक्ष्मीः प्रयोजककर्त्री
sp002-002041_RV_05	येन
sp002-002042_RV_05	चन्द्रेण प्रयोज्येन
sp002-002043_RV_05	पर्युत्सुकत्वम् तद्विरहवेदनाम्
sp002-002044_RV_05	भर्तृजन्यविरहवेदनाम् च कालाक्षमत्वमौत्सुक्यम् मनस्तापज्वरादिकृत् इति अलङ्कारे
sp002-002045_RV_05	विनोदयति निरासयतीति योजना
sp002-002046_RV_05	शेषम् पूर्ववत्
sp002-002047_RV_05	नाथस्तु निजर्थोपपत्तिमपश्यन् इमम् पक्षमुपैक्षिष्ट
sp002-002048_RV_05	लक्ष्मीः येन चन्द्रेण सह
sp002-002049_RV_05	त्वदाननसदृशत्वादिति भावः
sp002-002050_RV_05	विनोदयति विनोदम् करोति
sp002-002051_RV_05	विनोदशब्दात् तत्करोति तदाचष्टे इति णिच्
sp002-002052_RV_05	सादृश्यदर्शनादयो हि विरहिणाम् विनोदस्थानानि इति भावः
sp002-002053_RV_05	सः चन्द्रोऽपि दिगन्तलम्बी पश्चिमाशान्तगतः सन्
sp002-002054_RV_05	अस्तम् गच्छन्नित्यर्थः
sp002-002055_RV_05	अत एव त्वदाननरुचिम् तव मुखकान्तिम् विजहाति
sp002-002056_RV_05	त्वन्मुखसादृश्यम् त्यजति इत्यर्थः
sp002-002057_RV_05	अतः निद्राम् विहाय ताम् लक्ष्मीम् अनन्यशरणाम् पीरगृहाणा इत्यर्थः
sp002-002058_RV_05	तदिति
sp002-002059_RV_05	तत् तस्मात् लक्ष्मीपरिग्रहात् कारणात् वल्गुना मनोज्ञेन
sp002-002060_RV_05	वल्गु स्थाने मनोज्ञे च वल्गु भाषितमन्यवत् इति विश्वः
sp002-002061_RV_05	युगपत्तावत् उन्मिषितेन युगपदेव उन्मीलितेन सद्यः द्वे अपि परस्परतुलाम् अन्योन्यसादृश्यम् अधिरोहताम् प्राप्नुताम्
sp002-002062_RV_05	प्रार्थनायाम् लोट्
sp002-002063_RV_05	ते द्वे
sp002-002064_RV_05	अन्तः प्रस्पन्दमाना चलन्ती परुषेतरा स्निग्धा तारा कनीनिका यस्य तत्तथोक्तम्
sp002-002065_RV_05	तारकाक्ष्णः कनीनिका इत्यमरः
sp002-002066_RV_05	तव चक्षुः
sp002-002067_RV_05	अन्तः प्रचलितभ्रमरम् चलद्भृङ्गम् पद्मम् च
sp002-002068_RV_05	युगपद् उन्मेषे सति सम्पूर्णसादृश्यलाभः इति भावः
sp002-002069_RV_05	वृन्तादिति
sp002-002070_RV_05	विभातवायुः प्रभातवायुः स्वाभाविकम् नैसर्गिकम् ते तव मुखमारुतस्य निश्वासपवनस्य सौरभ्यम्
sp002-002071_RV_05	तादृक्सौगन्ध्यमित्यर्थः
sp002-002072_RV_05	परगुणेन अन्यदीयगुणेन
sp002-002073_RV_05	साङ्क्रामिकगन्धेन इत्यर्थः
sp002-002074_RV_05	ईप्सुः आप्तुमिच्छुः इव
sp002-002075_RV_05	आप् ज्ञप् वृधामीदिति ईकारादेशः
sp002-002076_RV_05	अनोकहानाम् वृक्षाणाम् श्लथम् शिथिलम् पुष्पम् वृन्तात् प्रसवबन्धनात्
sp002-002077_RV_05	वृन्तम् प्रसवबन्धनम् इत्यमरः
sp002-002078_RV_05	हरति आदत्ते
sp002-002079_RV_05	अरुणांशुभिन्नैः तरणिकिरणोद्बोधितैः सरसियैः कमलैः सह
sp002-002080_RV_05	तत्पुरुषे कृति बहुलमिति सप्तम्या अलुक्
sp002-002081_RV_05	संसृज्यते सङ्गच्छते
sp002-002082_RV_05	सृजेः दैवादिकात् कर्तरि लट्
sp002-002083_RV_05	ताम्रेति
sp002-002084_RV_05	ताम्रोदरेषु अरुणाभ्यन्तरेषु तरुपल्लवेषु द्रुमपल्लवेषु पल्लवोस्त्री किसलयम् इत्यमरः
sp002-002085_RV_05	पतितम् निर्धौताः याः हारगुलिकाः मुक्तामणयः तद्वत् विशदम् स्वच्छम् हिमाम्भः लब्धपरभागतया लब्धोत्कर्षतया
sp002-002086_RV_05	परभागो गुणोत्कर्षे इति यादवः
sp002-002087_RV_05	अधरोष्ठे त्वदीयम् त्वत्सम्बन्धि सदशनार्चिः दन्तकान्तिसहितम् लीलास्मितमिव आभाति
sp002-002088_RV_05	यावदिति
sp002-002089_RV_05	प्रतापनिधिः तेजोनिधिः भानुः सूर्यः यावत् ना क्रमते नोद्गच्छति
sp002-002090_RV_05	आङ उद्गमने इति आत्मनेपदम्
sp002-002091_RV_05	तावत्
sp002-002092_RV_05	भानौ अनुदिते एव इत्यर्थः
sp002-002093_RV_05	अह्नाय झटिति
sp002-002094_RV_05	द्राग्झटित्यञ्जसाह्नाय इत्यमरः
sp002-002095_RV_05	अरुणेन अनूरुणा
sp002-002096_RV_05	सूर्यसूतोऽरुणोऽनूरुः इत्यमरः
sp002-002097_RV_05	तमः निरस्तम्
sp002-002098_RV_05	तथाहि
sp002-002099_RV_05	हे वीर त्वय् आयोधनेषु युद्धेषु
sp002-002100_RV_05	अग्रसरताम् पुरःसरताम् याते सति तव गुरुः पिता रिपून् स्वयम् उच्छिनत्ति किम् वा
sp002-002101_RV_05	नोच्छिनत्त्येव इत्यर्थः
sp002-002102_RV_05	न खलु योग्यपुत्र न्यस्तभाराणाम् स्वामिनाम् स्वयम् व्यापारखेदः इति भावः
sp002-002103_RV_05	शय्यामिति
sp002-002104_RV_05	उभाभ्याम् पक्षाभ्याम् विनीता व्यपनीता निद्रा यैः हि ते उभयपक्षविनीतनिद्राः
sp002-002105_RV_05	तत्र समासविषये उभशब्दस्थाने उभयशब्दप्रयोग एव साधुः इति अनुसन्धेयम्
sp002-002106_RV_05	यथाह कैयटः उभादुदात्तो नित्यमिति नित्यग्रहणस्य इदम् प्रयोजनम् वृत्तिविषये उभशब्द प्रयोगो मा भूत्
sp002-002107_RV_05	उभयशब्दस्यैव यथा स्यात्
sp002-002108_RV_05	उभयपुत्र इत्यादि भवतीति
sp002-002109_RV_05	मुखराणि उत्थानचलनात् शब्दायमानानि शृङ्खलानि निगलानि कर्षन्तीति
sp002-002110_RV_05	तथोक्ताः ते तव स्तम्बे रमन्त इति स्तम्बेरमाः हस्तिनः
sp002-002111_RV_05	स्तम्बकर्णयो रमिजपोः इति अच्प्रत्ययः
sp002-002112_RV_05	हस्तिसूचकयोः इति वक्तव्याम्
sp002-002113_RV_05	इभः स्तम्बेरमः पद्मी इत्यमरः
sp002-002114_RV_05	तत्पुरुषे कृति बहुलमिति सप्तम्या अलुक्
sp002-002115_RV_05	शय्याम् जहति त्यजन्ति येषाम् स्तम्बेरमाणाम्
sp002-002116_RV_05	दन्ताः कोशाः इव दन्तकोशाः
sp002-002117_RV_05	दन्तकुड्मलाः तरुणारुणरागयोगात् बालार्क किरणसम्पर्कात् हेतोः भिन्नाद्रिगैरिकतटा इव विभान्ति
sp002-002118_RV_05	धातुरक्ता इव भान्तीत्यर्थः
sp002-002119_RV_05	दीर्घेष्विति
sp002-002120_RV_05	हे वनजाक्ष नीरजाक्ष
sp002-002121_RV_05	वने सलिल कानने इत्यमरः
sp002-002122_RV_05	दीर्घेषु पटमण्डपेषु नियमिताः बद्धाः वनायुदेश्याः वनायुदेशोद्भवाः
sp002-002123_RV_05	पारसीका वनायुजाः इति हलायुधः
sp002-002124_RV_05	अमी वाहाः अश्वाः निद्राम् विहाय पुरोगतानि लेह्यानि आस्वाद्यानि सैन्धवशिलाशकलानि
sp002-002125_RV_05	सैन्धवो लवण विशेषः सैन्धवोऽस्त्री शीतशिवम् माणिमन्थम् च सिन्धुजे इत्यमरः
sp002-002126_RV_05	तस्य शकलानि खण्डानि वक्त्रोष्मणा मलिनयन्ति मलिनानि कुर्वन्ति
sp002-002127_RV_05	उक्तम् च सिद्धयोगसङ्ग्रहे पूर्वाह्णकाले चाश्वानाम् प्रायशो लवणम् हितम्
sp002-002128_RV_05	अरुचिग्लानिशूलघ्नम् लवणम् सैन्धवम् वरम्
sp002-002129_RV_05	इति
sp002-002130_RV_05	भवतीति
sp002-002131_RV_05	म्लानः पुष्पोपहारः पुष्पपूजा म्लानत्वादेव विरलभक्तिः विरलरचनो भवति
sp002-002132_RV_05	प्रदीपाश्च स्वकिरणानाम् परिवेषस्य मण्डलस्य उद्भेदेन स्फुरणेन शून्या भवन्ति
sp002-002133_RV_05	निस्तेजस्का भवन्तीत्यर्थः
sp002-002134_RV_05	अपि च अयम् मञ्जुवाक् मधुरवचनः पञ्जरस्थः ते तव शुकः त्वत्प्रबोधनिमित्तेन प्रयुक्ताम् उच्चारिताम् नः अस्माकम् गिरम् वाणीम् अनुवदति
sp002-002135_RV_05	अनुकृत्य वदतीत्यर्थः
sp002-002136_RV_05	इत्थम् प्रभातलिङ्गानि वर्तन्ते
sp002-002137_RV_05	अतः प्रबोद्धव्यमिति भावः
sp002-002138_RV_05	इतीति
sp002-002139_RV_05	इति इत्थम् विरचितवाग्भिः वन्दिपुत्रैः वैतालिकैः
sp002-002140_RV_05	पुत्रग्रहणम् समानवयस्कत्वद्योतनार्थम्
sp002-002141_RV_05	सपदि विगतनिद्रः कुमारः
sp002-002142_RV_05	अजः तल्पम् शय्याम्
sp002-002143_RV_05	तल्पम् शय्याट्टदारेषु इत्यमरः
sp002-002144_RV_05	उज्झाञ्चकार विससर्ज
sp002-002145_RV_05	इजादेश्च गुरुमतोऽनृच्छः इति आम्प्रत्ययः
sp002-002146_RV_05	कथमिव
sp002-002147_RV_05	मदेन पटु मधुरम् निनदद्भिः राजहंसैः बोधितः सुप्रतीकाख्यः सुरगजः ईशानदिग्गजः
sp002-002148_RV_05	गङ्गायाः इदम् गाङ्गम्
sp002-002149_RV_05	सैकतम् पुलिनमिव
sp002-002150_RV_05	तोयोत्थितम् तत्पुलिनम् सैकतम् सिकतामयम् इत्यमरः
sp002-002151_RV_05	सिकताशर्कराभ्याम् च इति अण्प्रत्ययः
sp002-002152_RV_05	सुप्रतीकग्रहणम् प्रायशः तस्य कैलासवासित्वात् नित्य गङ्गातटविहारसम्भवार्थम् इति अनुसन्धेयम्
sp002-002153_RV_05	अथेति
sp002-002154_RV_05	अथ उत्थानानन्तरम् अञ्चितानि चारूणि अक्षिपक्ष्माणि यस्य सः अजः शास्त्रे दृष्टमवगतम्
sp002-002155_RV_05	दिवसमुखोचितम् दिवसमुखे प्रातःकाले उचितम् करणीयम् विधिम् अनुष्ठानम् अवसाय्य समाप्य
sp002-002156_RV_05	स्यतेः ण्ययन्तात् ल्यप्
sp002-002157_RV_05	कुशलैः प्रसाधनदक्षैः विरचितः अनुकूलः स्वयंवरोचितः वेषः
sp002-002158_RV_05	नेपथ्यम् यस्य स तथोक्तः सन् स्वयंवरस्थम् क्षितिपसमाजम् राजसमूहम् अगात्
sp002-002159_RV_05	इणो गा लुङीति गादेशः
sp002-002160_RV_05	पुष्पिताग्रावृत्तमेतत्
sp002-002161_RV_05	तदुक्तम् अयुजि नयुगरेफतो यकारो युजि च नजौ जरगाश्च पुष्पिताग्रा इति लक्षणात्
sp002-002162_RV_05	इति महामहोपाध्याय कोलाचलमल्लिनाथसूरिविरचितया सञ्जीविनीसमाख्यया
sp002-002163_RV_05	व्याख्यया समेतः महाकविश्रीकालिदासकृतौ रघुवंशे महाकाव्ये
sp002-002164_RV_05	अजस्वयंवराभिगमनो नाम पञ्चमः सर्गः
sp002-002165_RV_07	अथेति
sp002-002166_RV_07	अथ विदर्भनाथो भोजः सदृशेन उपयन्त्रा वरेण युक्ताम्
sp002-002167_RV_07	अत एव साक्षात्प्रत्यक्षम्
sp002-002168_RV_07	साक्षात्प्रत्यक्षतुल्ययोः इत्यमरः
sp002-002169_RV_07	स्कन्देन युक्ताम् देवसेनामिव
sp002-002170_RV_07	देवसेना नाम देवपुत्री स्कन्दपत्नी तामिव स्थिताम् स्वसारम्
sp002-002171_RV_07	भगिनीम् इन्दुमतीमादाय गृहीत्वा पुरप्रवेशाभिमुखो बभूव
sp002-002172_RV_07	उपजातिवृत्तम् सर्गेऽस्मिन्
sp002-002173_RV_07	सेनेति
sp002-002174_RV_07	भोजस्य राज्ञः गोत्रापत्यम् स्त्री भोज्या ताम् इन्दुमतीम् प्रति व्यर्थमनोरथत्वात्
sp002-002175_RV_07	रूपेषु आकृतिषु वेशेषु नेपथ्येषु च साभ्यसूया वृथेति निन्दन्तः
sp002-002176_RV_07	किञ्च
sp002-002177_RV_07	विभाते प्रातःकाले ये ग्रहाः चन्द्रादयः ते इव मन्दभासः
sp002-002178_RV_07	क्षीणकान्तयः पृथिवीक्षितो नृपाः अपि सेनानिवेशान् शिबिराणि जग्मुः
sp002-002179_RV_07	ननु क्रुद्धाशचेत् युध्यन्ताम् तत्राह
sp002-002180_RV_07	सान्निध्ययोगादिति
sp002-002181_RV_07	तत्र स्वयंवरक्षेत्रे शच्याः इन्द्राण्याः
sp002-002182_RV_07	सन्निधिरेव सान्निध्यम्
sp002-002183_RV_07	तस्य योगात्सद्भावात् हेतोः स्वयंवरस्य क्षोभकृताम् विघ्नकारिणाम् अभावः
sp002-002184_RV_07	किल किलेति स्वयंवरविघातकाः शच्या विनाश्यन्ते इति आगमसूचनार्थम्
sp002-002185_RV_07	तेन हेतुना काकुत्स्थम् अजम् उद्दिश्य समत्सरोऽपि सवैरोऽपि क्षितिपाललोकः शशाम नाक्षुभ्यत्
sp002-002186_RV_07	तावदिति
sp002-002187_RV_07	यावत्तावच्च साकल्ये इत्यमरः
sp002-002188_RV_07	तावत्प्रकीर्णाः साकल्येन प्रसारिताः अभिनवा नूतना उपचाराः पुष्पप्रकरादयो यस्य तम् तथोक्तम्
sp002-002189_RV_07	इन्द्रायुधानीव द्योतितानि प्रकाशितानि तोरणानि अङ्काः चिह्नानि यस्य तम्
sp002-002190_RV_07	ध्वजानाम् छाया ध्वजच्छायम् छाया बाहुल्ये इति नपुंसकत्वम्
sp002-002191_RV_07	तेन निवारितः उष्णः आतपः यत्र तम् तथा राजमार्गम् स वरो वोढा वध्वा सह प्राप विवेश
sp002-002192_RV_07	ततः इति
sp002-002193_RV_07	ततस्तदनन्तरम् चामीकरजालवत्सु सौवर्णगवाक्षयुक्तेषु सौधेषु तस्य अजस्य आलोकने तत्पराणाम् आसक्तानाम्
sp002-002194_RV_07	पुरसुन्दरीणाम् इत्थम् वक्ष्यमाणप्रकाराणि त्यक्तानि अन्यकार्याणि केशबन्धनादीनि येषु तानि विचोष्टितानि व्यापाराः
sp002-002195_RV_07	नपुंसके भावे क्तः
sp002-002196_RV_07	बभूवुः
sp002-002197_RV_07	तान्येवाह पञ्चभिः श्लोकैः
sp002-002198_RV_07	आलोकमार्गमिति
sp002-002199_RV_07	सहसा आलोकमार्गम् गवाक्षपथम् व्रजन्त्या कयाचित् कामिन्या उद्वेष्टन वान्तमाल्यः
sp002-002200_RV_07	उद्वेष्टनो द्रुतगतिवशात् उन्मुक्तबन्धनः
sp002-002201_RV_07	अत एव वान्तमाल्यो बन्धविश्लेषेण उद्गीर्णमाल्यः
sp002-002202_RV_07	करेण रुद्धो गृहीतोऽपि च केशपाशः केशकलापः
sp002-002203_RV_07	पाशः पक्षश्च हस्तश्च कलापार्थाः कचात्परे इत्यमरः
sp002-002204_RV_07	तावत् आलोकमार्गप्राप्तिपर्यन्तम् बन्धुम् बन्धनार्थम् न सम्भावितो न चिन्तित एव
sp002-002205_RV_07	प्रसाधिकालम्बितमिति
sp002-002206_RV_07	काचित्
sp002-002207_RV_07	प्रसाधिकया अलङ्कर्त्र्या आलम्बितम् रञ्जनार्थ धृतम् द्रवरागम् एव आर्द्रा लक्तकमेव
sp002-002208_RV_07	अग्रश्च असौ पादश्च इति अग्रपाद इति कर्मधारयसमासः
sp002-002209_RV_07	हस्ताग्राग्रहस्तादयो गुणगुणिनोः भेदाभेदाभ्याम् इति वामनः
sp002-002210_RV_07	तमाक्षिप्य आकृष्य
sp002-002211_RV_07	उत्सृष्टलिलागतिः त्यक्तमन्दगमना सती
sp002-002212_RV_07	आ गवाक्षात् गवाक्षपर्यन्तम् पदवीम् पन्थानम् अलक्तकाङ्काम् लाक्षारागचिह्नाम् ततान विस्तारयामास
sp002-002213_RV_07	विलोचनमिति
sp002-002214_RV_07	अपरा स्त्री दक्षिणम् विलोचनम् अञ्जनेन सम्भाव्य अलङ्कृत्य
sp002-002215_RV_07	सम्भ्रमादिति भावः
sp002-002216_RV_07	तद्वञ्चितम् तेन अञ्जनेन वर्जितम् वामनेत्रम् यस्याः सा सती तथैव शलाकाम्
sp002-002217_RV_07	अञ्जनतूलिकाम् वहन्ती सती वातायनसन्निकर्षम् गवाक्षसमीपम् ययौ
sp002-002218_RV_07	दक्षिणग्रहणम् सम्भ्रमात् व्युत्क्रमकरणद्योतनार्थम्
sp002-002219_RV_07	सव्यम् हि पूर्वम् मनुष्या अञ्जते इति श्रुतेः
sp002-002220_RV_07	जालन्तरेति
sp002-002221_RV_07	अन्या स्त्री जालान्तरप्रेषितदृष्टिः गवाक्षमध्यप्रेरितदृष्टिः सती
sp002-002222_RV_07	प्रस्थानेन गमनेन भिन्नाम् त्रुटिताम् नीवीम् वसनग्नन्थिम्
sp002-002223_RV_07	नीवी परिपणे ग्रन्थौ स्त्रीणाम् जघनवाससि इति विश्वः
sp002-002224_RV_07	न बबन्ध
sp002-002225_RV_07	किन्तु नाभिप्रविष्टा आभरणानाम् कङ्कणादीनाम् प्रभा यस्य तेन
sp002-002226_RV_07	प्रभैव नाभेः आभरणम् अभूत् इति भावः
sp002-002227_RV_07	हस्तेन वासः अवलम्ब्य गृहीत्वा तस्थौ
sp002-002228_RV_07	अर्धाञ्चितेति
sp002-002229_RV_07	सत्वरमुत्थितायाः कस्याश्चित् अर्धाञ्चिता मणिभिः अर्धगुम्फिता दुर्निमिते सम्भ्रमात् उत्क्षिप्ते
sp002-002230_RV_07	डुमिञ्प्रक्षेपणे इति धातोः कर्मणि क्तः
sp002-002231_RV_07	पदे पदे प्रतिपदम्
sp002-002232_RV_07	वीप्सायाम् द्विर्भावः
sp002-002233_RV_07	गलन्ती गलद्रत्ना सती रशना मेखला तदानीम् गमनसमये अङ्गुष्ठ मूले अर्पितम् सूत्रमेव शेषो यस्याः सा आसीत्
sp002-002234_RV_07	तासामिति
sp002-002235_RV_07	तदानीम् सान्द्रकुतूहलानाम् तासाम् स्त्रीणाम् आसवगन्धो गर्भे येषाम् तैः
sp002-002236_RV_07	विलोलानि नेत्राण्येव भ्रमराः येषाम् तैः
sp002-002237_RV_07	मुखैः व्याप्तान्तराः छन्नावकाशाः गवाक्षाः सहस्रपत्राभरणा इव कमलालङ्कृता इव
sp002-002238_RV_07	सहस्रपत्रम् कमलम् इत्यमरः
sp002-002239_RV_07	आसन्
sp002-002240_RV_07	ता इति
sp002-002241_RV_07	ता नार्यः रघोरपत्यम् राघवम् अजम्
sp002-002242_RV_07	तस्यापत्यमिति अण्प्रत्ययः
sp002-002243_RV_07	दृष्टिभिः आपिबन्त्यः अतितृष्णया पश्यन्त्यः विषयान्तराणि अन्यान्विषयान् न जग्मुः
sp002-002244_RV_07	न विविदुः इत्यर्थः
sp002-002245_RV_07	तथाहि
sp002-002246_RV_07	आसाम् नारीणाम् शेषेन्द्रियवृत्तिः चक्षुर्व्यतिरिक्त श्रोत्रादीन्द्रियव्यापारः सर्वात्मना स्वरूपकार्त्स्न्येन चक्षुः प्रविष्टेव
sp002-002247_RV_07	श्रोत्रादीनि इन्द्रियाणि स्वातन्त्र्येण ग्रहणाशक्तेः चक्षुरेव प्रविश्य कौतुकात् स्वयम् अपि एनम् उपलभन्ते किमु
sp002-002248_RV_07	अन्यथा स्वस्वविषयाधिगमः किम् न स्यादिति भावः
sp002-002249_RV_07	शृण्वन्कथाः श्रोत्रसुखाः कुमारः इति वक्ष्यति
sp002-002250_RV_07	ताः कथयति स्थाने इत्यादिभिः त्रिभिः स्थान इति
sp002-002251_RV_07	भोज्या इन्दुमती परोक्षैः अदृष्टैः भूपतिभिः वृता ममैव इयमिति
sp002-002252_RV_07	प्रार्थितापि स्वयंवरमेव साधुम् हितम् अमंस्त मेने
sp002-002253_RV_07	न तु परोक्षमेव कञ्चित्प्रार्थकम् वव्रे
sp002-002254_RV_07	स्थाने युक्तमेतत्
sp002-002255_RV_07	युक्ते द्वे साम्प्रतम् स्थाने इत्यमरः
sp002-002256_RV_07	कुतः
sp002-002257_RV_07	अन्यथा स्वयंवराभावे असौ इन्दुमती
sp002-002258_RV_07	पद्ममस्याः अस्तीति पद्मा लक्ष्मीः
sp002-002259_RV_07	अर्श आदिभ्योऽच् इति अच्प्रत्ययः
sp002-002260_RV_07	नारायणमिव
sp002-002261_RV_07	आत्मतुल्यम् स्वानुरूपम् कान्तम् पतिम् कथम् लभेत
sp002-002262_RV_07	न लभेत इव
sp002-002263_RV_07	सदसत् विवेक असौकर्यादिति भावः
sp002-002264_RV_07	परस्परेणेति
sp002-002265_RV_07	स्पृहणीयशोभम् सर्वाशास्यसौन्दर्यमिदम् द्वन्द्वम् मिथुनम्
sp002-002266_RV_07	द्वन्द्वम् रहस्य इत्यादिना निपातः
sp002-002267_RV_07	परस्परेण नायोजयिष्यच्चेत् न योजयेत् यदि तर्हि प्रजानाम् पत्युः
sp002-002268_RV_07	विधातुः अस्मिन्द्वये द्वन्द्वे रूपविधानयत्नः सौन्दर्यनिर्माणप्रयासः वितथः विफलः अभविष्यत्
sp002-002269_RV_07	एतादृश अनुरूपस्त्रीपुंसान्तराभावात् इति भावः
sp002-002270_RV_07	लिङ्निमित्ते लङ्क्रियातिपत्तौ इति लृङ्
sp002-002271_RV_07	कुतश्चित्कारणवैगुण्यात् क्रियायाः अनभिनिष्पत्तिः क्रियातिपत्तिः इति वृत्तिकारः
sp002-002272_RV_07	रतिस्मराविति
sp002-002273_RV_07	रतिस्मरौ यौ नित्यसहचरौ इति अभिप्रायः
sp002-002274_RV_07	नूनम् तौ एव इयम् च अयम् च इमौ दम्पती अभूताम्
sp002-002275_RV_07	एतद्रूपेण उत्पन्नौ
sp002-002276_RV_07	कुतः
sp002-002277_RV_07	तथाहि
sp002-002278_RV_07	इयम् बाला राज्ञाम् सहस्रेषु राजसहस्रमध्ये
sp002-002279_RV_07	सत्यपि व्यत्यासकारणे इति भावः
