sp025-000001_001	ftuH parivartate
sp025-000896_006	ajYAta nAmnyAH asyAH aBijYAnam kftvA samAje anayA anuzWitAya yogadAnAya sA padmaSrIti alaNkaraRena sammAnitAsti
sp025-000897_006	adya ekasya aparasya nAmnaH samulleKAt nAham AtmAnam vArayitum Saknomi
sp025-000898_006	paScima baNgAlasya paYca saptati varzIyA suBAsinI mistrI ityasyAH nAma
sp025-000899_006	sA puraskArArTam vftAsti
sp025-000900_006	suBAsinI mistrI tAdfSI mahilA asti yA cikitsAlayasya nirmARArTam aparezAm gfhezu BARqAni svacCIkftavatI SAkAdi krayam ca vyadaDAt
sp025-000901_006	yadA sA trayoviMSati varzIyA AsIt tadA upacArasya aBAva kAraRAt asyAH patyuH mftyuH aBavat
sp025-000902_006	samprati asyAH kaWora SrameRa vinirmite cikitsAlaye parassahasrARAm nirDanAnAm niHSulkam upacAro viDIyate
sp025-000903_006	etAdfSAnAm janAnAm aBijYAnam na Bavati cet samAjasyApi hAniH Bavati
sp025-000904_006	padma puraskAro nAma mADyamamasti paraYca aham deSavAsiByoऽpi nivedayAmi yadasmAn paritaH samAjasya kfte samarpita jIvanAH samAjArTam nizWAvantaH kAmapi kAYcidapi viSezatAm sanDArayantaH AjIvanam kAryAnuzWAtAraH lakza lakzADikAH janAH santi
sp025-000905_006	nUnam kadAcidapi te samAja DArAyAm samAveSanIyAH
sp025-000906_006	na te mAna sammAnArTam kAryARi Acaranti paraYca tezAm eBiH kAryEH vayam preritAH BavAmaH
sp025-000907_006	kadAcit vidyAlayezu kadAcit mahAvidyAlayezu ca etAdfSAH mahanIyajanAH samAmantraRIyAH tezAYca anuBavAH SravaRIyAH
sp025-000908_006	ayameva divasaH asti yadA pUjyaH mahAtma gA~DI dakziRAPrIkAtaH BAratam pratyAgataH
sp025-000909_006	asminneva dine vayam BArate viSvasmin viSve ca nivasatAm BAratIyAnAm maDye aBinna banDanasya utsavam AyojayAmaH
sp025-000910_006	EzamaH pravAsi BAratIya divasAvasare vayam kAryakramamekam AyojitavantaH yatra viSvasmin viSve nivasanto BAratIya mUlasya sarveऽpi sAMsadAH mahApOrAH cAmantritAH Asan
sp025-000911_006	kecana Ayurveda kzetre samarpitAH santi apare svIya saNgIta mADyamena samAjasya manAnsi raYjayanti itare ca kecana svIya lalita kavitA racanABiH sahfdayAn Ananda sandohena AplAvayanti
sp025-000912_006	kaScana BAravAhiyAnam cAlayitvA gurudvArA nirmARam akarot apareRa ca kenacit masjid nirmARam kftam
sp025-000913_006	arTAt yatra kutrApi asmadIyAH janAH santi te tatratyAm DarAm yena kenApi prakAreRa susajjitAm kftavantaH
sp025-000914_006	aham DanyavAdAn vitarAmi yUropIya saNGasya asya ulleKanIya kAryasya kfte BAratIya mUlasya janAnAm aBijYAnArTam api ca amunA mADyamena BAratasya nAgarikeByaH api sUcanA pradAnArTam
sp025-000915_006	taTA ca etan mADyamena aSeza jagataH janAn sUcayitumapi
sp025-000916_006	divasamenam hutAtmadina tvena vayam AyojayAmaH
sp025-000917_006	etasmin dine vayam deSasya rakzAyE hutAtmaByaH mahadByaH prAtaH ekAdaSa vAdane SradDAYjalim arpayAmaH
sp025-000918_006	SAnteH ahiMsAyASca mArgaH eva bApU mahAtmanaH ananyamArgaH AsIt
sp025-000919_006	Bavatu nAma BAratamidam vA jagat syAdidam kuwumbam vA ekAkI jano vA sakalaH samAjaH pUjya bApU varyaH yezAm sidDAntAnAm AdarSAnAYca kfte jIvati sma pUjya bApUH yat kimapi asmAn samadiSat tatsarvam adyApi atitarAm upayogi vartate
sp025-000920_006	te kevalam sidDAntAH eva nEvAsan
sp025-000921_006	vartamAna kAleऽpi vayam pade pade paSyAmaH yadbApU varyasya sandeSaH kiyAn samIcInaH asti
sp025-000922_006	yadi vayam saNkalpayema yadbApU varyasya mArgamanusarema yAvantamapi pracalitum SaknumaH pracalema tadA etasmAt samucitataraH kaH anyaH SradDAYjaliH BavitA
sp025-000923_006	BavadByaH sarveByaH maNgala kAmanAH BUriSo DanyavAdAH namaskAraH
