sp010-000001_SR_01	samarTaH svAmI rAmadAsaH
sp010-000940_SR_31	kimasi kawiDftakara iha rAma
sp010-000941_SR_31	kutra gatA naH sItA mAtA atra kaTam nanu sA raGumAtA
sp010-000942_SR_31	kaTam vAnarAstvayA visfzwAH kaTam paRQare pureऽDivAsI sarayUgaNge api samuttame
sp010-000943_SR_31	kaTamiha candraBAgayA AkfzwaH hiMsAtARqavamasti prasftam rakzo atyAcAraH praTitaH
sp010-000944_SR_31	Darmam koऽpi na vettyaDarmo vigataBayaH pravirAjati
sp010-000945_SR_31	kaTamezAm damane na te spfhA
sp010-000946_SR_31	tyaktO DanuHSarO kaTamasmin kalO karAle prasfte vIrocitamAcara praBo tvam rAmadAsa iti vfRute
sp010-000947_SR_31	kaTyate tasminneva kzaRe viwWaladevaH karayoH DanurbARO AviraBAvayat
sp010-000948_SR_31	rAmarUpam DftvA ca rAmadAsAya darSanam dattavAn
sp010-000949_SR_31	tasya caraRO vanditvA rAmadAso jaya jaya raGuvIra samarTa iti bruvan agre sasAra
sp010-000950_SR_31	anugodAvarItIram gacCan rAmadAsaH pEWaRam prApa
sp010-000951_SR_31	sa nagare Bramate sma
sp010-000952_SR_31	tena dfzwAH kecana bAlakA goPaRena gidDam vedDum lakzyamakurvan asakft te goPaRena golakalozWAn kzipanti
sp010-000953_SR_31	kintu lakzyam vyadDum saPalA na Bavanti
sp010-000954_SR_31	rAmadAsena goPaRam bAleByo gfhItam
sp010-000955_SR_31	cAlitA ca gulikA
sp010-000956_SR_31	vidDam ca lakzyam
sp010-000957_SR_31	vidDo gfdDro BUmO nipapAta
sp010-000958_SR_31	etad dfzwvA janAH kaTayanti GoraH kalikAla AgataH sannyAsI Bavannapi kaScidAKewam kuruta iti
sp010-000959_SR_31	kIdfSa eza sADuH
sp010-000960_SR_32	prAyaScittamanena karaRIyam iti
sp010-000961_SR_32	rAmadAsaH prAbrUta vijYA Bavanto yadAdiSeyuH tat kartum sannadDoऽhamiti
sp010-000962_SR_32	paRqitA AgatAH
sp010-000963_SR_32	homahavanAdikam jAtam
sp010-000964_SR_32	mantrajapoऽpi sampannaH
sp010-000965_SR_32	brAhmaReByo dakziRAdravyamapi yaTezwam dattam
sp010-000966_SR_32	brAhmaRA dakziRAm gfhItvA yadA gantum pravfttAstadA rAmadAsaH tAnAkArayat kva vA gamyate kAryam tu na sampannam
sp010-000967_SR_32	gfdDrastu tatrEva taTEva patito dfSyate iti
sp010-000968_SR_32	ekaH paRqito brUte nizprARaH saH
sp010-000969_SR_32	sa taTEva sTAsyati
sp010-000970_SR_32	svAmI kaTayati yadyevam tarhi BavatAm homAdikam sarvam vyarTam jAtam
sp010-000971_SR_32	miTyEva sarvamidam mayA BavadBirakAri iti
sp010-000972_SR_32	janAH kaTayanti koऽrTastavEtasya kaTanasya kimicCati BavAn iti
sp010-000973_SR_32	rAmadAso brUte vAYCAmi gfDra eza jIvito BUtvA naBasi uqqIyatAmiti
sp010-000974_SR_32	pramuKaH paRqitoऽbrUta kaTamidam SakyasamBavamiti
sp010-000975_SR_32	rAmadAsaH uktavAn idamevam samBavatIti
sp010-000976_SR_32	rAmadAsaH kamaRqalorjalam kareRAdAya gfDracaYcvAm apAtayat
sp010-000977_SR_32	gfDro jalamapibat pAdAByAm udatizWat SanESca pakzO prAsArayat prodaqIyata ca
sp010-000978_SR_32	sarve cakitAH
sp010-000979_SR_32	paRqitAH svAminam prati natamastakA jAtAH
sp010-000980_SR_32	aneke janAH svAminaH SizyA jAtAH
sp010-000981_SR_32	sarvEH samavetamUce jaya jaya raGuvIra samarTa iti
sp010-000982_SR_32	te SIGrameva nAsikam prApuH
sp010-000983_SR_32	tEH dvAdaSavArzikyAH tIrTayAtrAyAH vivaraRam Bagavato rAmasya pAdayorarpitam
sp010-000984_SR_32	tataH param te wAkalIm prApuH yatrAsIdezAmASramaH
sp010-000985_SR_32	udDava idAnIm yuvakaH saMvfttaH
sp010-000986_SR_32	sa cAlitavAn wAkalyASramasya vyavasTAm vyavasTitatayA
sp010-000987_SR_32	dikzu catasfzvapi KyAtim asO avApa
sp010-000988_SR_32	tat sarvam dfzwvA SrutvA ca rAmadAsaH paramam harzamavApat
sp010-000989_SR_32	udDavam ASIrBiryojayitvA rAmadAso mahAbaleSvaram prApa
sp010-000990_SR_32	SarIreRa prAMSuH mudrayA tejasvI vfttyA vErAgyamayaH rAmadAsaH svAmI sadEva kAzAyam DArayati
sp010-000991_SR_32	na sa kamapi yAcate dattam vA kenApi gfhRIte
sp010-000992_SR_32	vAci pravAhaH praBAvaScAstAm
sp010-000993_SR_32	kAlapraboDaH vyavahAracAturyam paropakAraH cetyete sadguRAH tezu sahasraguRA iva sanniviviSuH
sp010-000994_SR_32	yatrApyasO prApnoti tatra rAtrO sahasram janAH samavAyan
sp010-000995_SR_32	mahAbaleSvarI mAhulI cetyAdizu sTAnezu tena hanumanmandirARi asTApizata
sp010-000996_SR_32	maWAH samasTApizata
sp010-000997_SR_32	yuvakA bAlakASca dEnike vyAyAme samupAdiSyanta svasya Darmasya rakzAyE saNGawanAyAH mArgAH adarSizata
