sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-001113_RV_02	ata eva sutarAm dayAluH san
sp002-001114_RV_02	sutarAmityatra dvivacanaviBajye tyAdinA suSabdAttarap
sp002-001115_RV_02	kimettiNavyaye tyAdinA AmpratyayaH
sp002-001116_RV_02	tadDitaScAsarvaviBaktiriti avyayasaYjYA
sp002-001117_RV_02	kzaRu hiMsAyAmiti DAtoH sampadAditvAtkvipi
sp002-001118_RV_02	gamAdInAmiti vaktavyAdanunAsikalope tugAgame sati kzaditi rUpam sidDam
sp002-001119_RV_02	kzato nASAt trAyata iti kzatraH
sp002-001120_RV_02	subIti yogaviBAgAt kapratyayaH
sp002-001121_RV_02	tAmetAm vyutpattim kavirarTato anukrAmati kzatAdityAdinA
sp002-001122_RV_02	udagraH unnataH kzatrasya kzatravarRasya Sabdo vAcakaH kzatraSabda ityarTaH
sp002-001123_RV_02	soऽyam kzatAttrAyata iti vyutpattyA Buvanezu rUQaH kila prasidDaH Kalu
sp002-001124_RV_02	nASvakarRAdivatkevalarUQaH kintu paNkajAdivat yogarUQa ityarTaH
sp002-001125_RV_02	ataH kim ityata Aha tasya kzatra Sabdasya viparItavftteH
sp002-001126_RV_02	virudDavyApArasya kzatAttrARamakurvataH puMsaH rAjyena kim
sp002-001127_RV_02	upakroSamalImasEH nindAmalinEH
sp002-001128_RV_02	upakroSo jugupsA ca kutsA nindA ca garhaRe ityamaraH
sp002-001129_RV_02	jyotsnAtamisre tyAdinA malImasaSabdo nipAtitaH
sp002-001130_RV_02	malImasam tu malinam kaccaram maladUzitamityamaraH
sp002-001131_RV_02	tEH prARErvA kim
sp002-001132_RV_02	ninditasya sarvam vyarTamityarTaH
sp002-001133_RV_02	etena ekAtapatramityAdi Slokadvayoktam dattottaramiti veditavyam
sp002-001134_RV_02	kaTamiti
sp002-001135_RV_02	anunayaH kroDApanayaH
sp002-001136_RV_02	cakAro vAkArArTaH
sp002-001137_RV_02	maharzeranunayo vA anyAsAm payasvinInAm dogDrIRAm gavAm viSrARanAt dAnAt
sp002-001138_RV_02	viSrARanam vitaraRam sparSanam pratipAdanamityamaraH
sp002-001139_RV_02	kaTam SakyaH
sp002-001140_RV_02	na Sakya ityarTaH
sp002-001141_RV_02	atra hetumAha imAm gAm suraBeH kAmaDenoH
sp002-001142_RV_02	paYcamI viBakta iti paYcamI
sp002-001143_RV_02	anUnAm anyUnAm avehi
sp002-001144_RV_02	tarhi kaTam pariBavo asyAH ityatrAha rudreti
sp002-001145_RV_02	asyAm gavi tvayA kartrA prahftam tu prahArastu
sp002-001146_RV_02	napuMsake BAve ktaH
sp002-001147_RV_02	rudrOjasA ISvarasAmarTyena
sp002-001148_RV_02	na tu tava ityarTaH
sp002-001149_RV_02	saptamyaDikaraRe ca iti saptamI
sp002-001150_RV_02	seyamiti
sp002-001151_RV_02	seyam gOH
sp002-001152_RV_02	mayA nizkrIyate pratyAhriyate anena parigfhItamiti nizkrayaH
sp002-001153_RV_02	pratiSIrzakam
sp002-001154_RV_02	erac iti acpratyayaH
sp002-001155_RV_02	svadehArpaRameva nizkrayaH tena BavattaH tvattaH
sp002-001156_RV_02	paYcamyAstasil
sp002-001157_RV_02	mocayitum nyAyAdanapetA yuktA ityarTaH
sp002-001158_RV_02	DarmapaTyarTe tyAdinA yatpratyayaH
sp002-001159_RV_02	evam sati tava pAraRA Bojanam vihatA na syAt
sp002-001160_RV_02	muneH kriyA homAdiH sa evArTaH prayojanam
sp002-001161_RV_02	sa ca alupto Bavet
sp002-001162_RV_02	svaprARAtyenApi svAmiguruDanam saMrakzyamiti BAvaH
sp002-001163_RV_02	BavAniti
sp002-001164_RV_02	paravAn svAmiparatantraH BavAnapi
sp002-001165_RV_02	idam vakzyamARam avEti vetti
sp002-001166_RV_02	Seze praTama iti praTamapuruzaH
sp002-001167_RV_02	BavatA anuBUyate eva ityarTaH
sp002-001168_RV_02	kaTamityatrAha hi yasmAt kAraRAt hi hetAvavaDAraRe ityamaraH
sp002-001169_RV_02	tava devadArO vizaye mahAn aDikaH yatnaH
sp002-001170_RV_02	mahatA prayatnena rakzyate ityarTaH
sp002-001171_RV_02	idam Sabdoktam arTam darSayati sTAtumiti
sp002-001172_RV_02	rakzyam vastu vinASya nASam gamayitvA svayam akzatena avraRena niyuktena iti SezaH
sp002-001173_RV_02	niyoktuH svAminaH agre sTAtum na Sakyam
sp002-001174_RV_02	sarvaTA rakzyam vastu DenurUpam avinASyameva
sp002-001175_RV_02	kimiti
sp002-001176_RV_02	kimapi kim vA aham tavA ahiMsyaH avaDyo mataScet tarhi me yaSa eva SarIram tasmin dayAlurBava
sp002-001177_RV_02	nanu muKyamupekzya amuKyaSarIre koऽBiniveSa ityatrAha ekAnteti
sp002-001178_RV_02	madviDAnAm mAdfSanAm vivekinAm ekAntaviDvaMsizu avaSyavinASizu BOtikezu
sp002-001179_RV_02	pfTivyAdiBUtavikArezu piRqezu SarIrezu anAsTA anapekzA Kalu
sp002-001180_RV_02	AsTA tu AlambanAsTAnayatnApekzAsu kaTyate iti viSvaH
sp002-001181_RV_02	sambanDamiti
sp002-001182_RV_02	sambanDam saKyam
sp002-001183_RV_02	ABAzaRam AlApaH pUrvam kAraRam yasya tam AhuH
sp002-001184_RV_02	syAt ABAzaRamAlApaH ityamaraH
sp002-001185_RV_02	saH tAdfksambanDaH vanAnte saNgatayoH nO AvayoH vfttaH jAtaH
sp002-001186_RV_02	tat tataH he BUtanATAnuga SivAnucara
sp002-001187_RV_02	etena tasya mahattvam sUcayati
sp002-001188_RV_02	ata eva sambanDinaH mitrasya me praRayam yAcYAm praRayasyAt paricaye yAcYAyAm sOhfdepi ca iti yAdavaH
sp002-001189_RV_02	praRayAstvami viSramBayAcYApremARaH ityamaraSca
sp002-001190_RV_02	vihantum nArhasi
sp002-001191_RV_02	taTeti
sp002-001192_RV_02	taTeti gAm muktavate tyaktavate haraye siMhAya
sp002-001193_RV_02	kapO siMhe suvarRe ca varRe vizRO harim viduH iti SASvataH
sp002-001194_RV_02	sadyaH tatkzaRe pratizwamBAt nirbanDAt vimukta bAhuH muktahastaH dilIpaH sanyastaSastraH tyaktAyuDaH san
sp002-001195_RV_02	svadeham Amizasya mAMsasya
sp002-001196_RV_02	palalam kravyamAmizam ityamaraH
sp002-001197_RV_02	piRqam kabalamiva upAnayat samarpitavAn
sp002-001198_RV_02	etena nirmamatvamuktam
sp002-001199_RV_02	tasminniti
sp002-001200_RV_02	tasminkzaRe ugram siMhanipAtam utpaSyataH utprekzamARasya tarkayata ityarTaH
sp002-001201_RV_02	avANmuKasya aDomuKasya syAdavANapyaDomuKaH ityamaraH
sp002-001202_RV_02	prajAnAm pAlayituH rAjYaH upari uparizwAt
sp002-001203_RV_02	uparyuparizwAt iti nipAtaH
sp002-001204_RV_02	vidyADarARAm devatAviSezARAm hastEH muktA puzpavfzwiH papAta
sp002-001205_RV_02	uttizWeti
sp002-001206_RV_02	rAjA dilIpaH amftavadacaratIti amftAyamAnam tat
sp002-001207_RV_02	upamAnAdAcAre iti kyac
sp002-001208_RV_02	tataH SAnac
sp002-001209_RV_02	utTitam utpannam he vatsa uttizWa iti vaco niSamya SrutvA utTitaH san
sp002-001210_RV_02	agrataH agre prasravaH kzIrasrAvo asyAstIti prasraviRI tAm gAm svAm jananImiva dadarSa
sp002-001211_RV_02	siMham tu na dadarSa
sp002-001212_RV_02	tamiti
sp002-001213_RV_02	vismitam AScarya gatam
sp002-001214_RV_02	kartari ktaH
sp002-001215_RV_02	tam dilIpam DenuruvAca
sp002-001216_RV_02	kimityatrAha he sADo mayA mAyAm udBAvya kalpayitvA parIkzitoऽsi
sp002-001217_RV_02	fzipraBAvA antakopi mayi prahartum na praBuH na samarTaH
sp002-001218_RV_02	anye hiMsrAH GAtukAH
sp002-001219_RV_02	SarArurGAtuko hiMsraH ityamaraH
sp002-001220_RV_02	namikampi ityAdinA rapratyayaH
sp002-001221_RV_02	kimuta suzWu na praBava iti yojyam
sp002-001222_RV_02	balavatsuzWu kimuta svatyatIva ca nirBare ityamaraH
sp002-001223_RV_02	Baktyeti
sp002-001224_RV_02	he putra gurO BaktyA mayi anukampayA ca
sp002-001225_RV_02	te tuByam prItAsmi
sp002-001226_RV_02	kriyAgrahaRamapi kartavyam iti caturTI
sp002-001227_RV_02	varam deveByo varaRIyamarTam
sp002-001228_RV_02	devAdvfte varaH SrezWe trizu klIbam manAkpriye ityamaraH
sp002-001229_RV_02	vfRIzva svIkuru
sp002-001230_RV_02	taTAhi
sp002-001231_RV_02	mAm kevalAnAm payasAm prasUtim kAraRam nAvehi na vidDi
sp002-001232_RV_02	kintu prasannAm mAm
sp002-001233_RV_02	kAmAndogDIti kAmaduGA
sp002-001234_RV_02	duhaH kabGaSca iti kappratyayaH
sp002-001235_RV_02	tAm avehi vidDi
sp002-001236_RV_02	tata iti
sp002-001237_RV_02	mAnitArTI svahastArjito vIra iti Sabdo yena saH
sp002-001238_RV_02	etena dAtftvam dEnyarAhityam ca uktam
sp002-001239_RV_02	sa rAjA hastO samAnIya sanDAya
sp002-001240_RV_02	aYjalim vadDvA ityarTaH
sp002-001241_RV_02	vaMSasya kartAram pravartayitAram
sp002-001242_RV_02	ata eva raGukulamiti prasidDam
sp002-001243_RV_02	ananta kIrtim sTirayaSasam tanayam sudakziRAyAm yayAce
sp002-001244_RV_02	santAneti
sp002-001245_RV_02	sA payasvinI gOH
sp002-001246_RV_02	santAnam kAmayate iti santAnakAmaH
sp002-001247_RV_02	karmaRyaR
sp002-001248_RV_02	tasmE rAjYe taTeti
sp002-001249_RV_02	kAmyate iti kAmo varaH
sp002-001250_RV_02	karmArTe GaYpratyayaH
sp002-001251_RV_02	tam pratiSrutya pratijYAya he putra madIyam payaH patrapuwe patranirmita pAtre
sp002-001252_RV_02	dugDvA upaBuNkzva piba iti tam nfpam AdideSa AjYApitavatI
sp002-001253_RV_02	vatsasyeti
sp002-001254_RV_02	he mAtaH vatsasya vatsapItasya Sezam
sp002-001255_RV_02	vatsapItAvaSizwamityarTaH
sp002-001256_RV_02	homa evArDastasya viDiranuzWAnam
sp002-001257_RV_02	tasya ca Sezam
sp002-001258_RV_02	hutAvaSizwamityarTaH
sp002-001259_RV_02	tava UDasi Bavam UDasyam kzIram
sp002-001260_RV_02	SarIrAvayavAcca iti yatpratyayaH
sp002-001261_RV_02	rakzitAyAH urvyAH vasuDAyAH vasuDorvI vasunDarA ityamaraH
sp002-001262_RV_02	zazWAMSam zazWaBAgamiva fzeranujYAm aDigamya upagamya upaBoktumicCAmi
sp002-001263_RV_02	itTamiti
sp002-001264_RV_02	itTam kzitISena dilIpena vijYApitA vasizWasya DenurnandinI prItatarA
sp002-001265_RV_02	pUrvam SuSrUzayA prItA sampratyanayA vijYApanayA prItatarA atisantuzwA baBUva
sp002-001266_RV_02	tadanvitA tena dilIpena yuktA hEmavatAt himavatsambanDinaH kukzeH guhAyAH sakASAt
sp002-001267_RV_02	aSrameRa anAyAsena ASramam pratyAyayO AgatA ca
sp002-001268_RV_02	tasyA iti
sp002-001269_RV_02	prasannenduriva muKam yasya saH nfpARAm guruH dilIpaH praharzacihnEH muKarAgAdiBiH anumitamaByUhitam tasyAH DenoH prasAdam anugraham
sp002-001270_RV_02	praharzacihnEreva jYAtatvAt punaruktayeva vAcA gurave nivedya vijYApya paScAtpriyAyE SaSaMsa
sp002-001271_RV_02	kaTitavAn
sp002-001272_RV_02	kaTitasyEva kaTanam punaruktiH
sp002-001273_RV_02	na ceha tadasti
sp002-001274_RV_02	kintu cihnEH kaTitaprAyatvAt punaruktayA iva sTitayA ityutprekzA
sp002-001275_RV_02	sa iti
sp002-001276_RV_02	aninditAtmA agarhitasvaBAvaH
sp002-001277_RV_02	satsu vatsalaH premavAn sadvatsalaH
sp002-001278_RV_02	vatsAMsAByAm kAmabala iti lacpratyayaH
sp002-001279_RV_02	sa dilIpaH
sp002-001280_RV_02	vasizWena kftAByanujYaH kftAnumatisan vatsasya hutasya ca avaSezam pItahutAvaSizwam nandinyAH stanyam kzIram
sp002-001281_RV_02	SuBram mUrtam paricCinnam yaSa iva
sp002-001282_RV_02	atitfzRaH san papO
sp002-001283_RV_02	prAtariti
sp002-001284_RV_02	vaSI jitendriyaH
sp002-001285_RV_02	vasizWaH prAtaH yaToktasya pUrvoktasya vratasya gosevArUpasya aNgaBUtA
sp002-001286_RV_02	yA pAraRA tasyA ante prAsTAnikam prasTAnakAle Bavam
sp002-001287_RV_02	tatkAlocitamityarTaH
sp002-001288_RV_02	kAlAdWaYa iti WaYpratyayaH
sp002-001289_RV_02	yaTAkaTaYcit guRavfttyA kAle vartamAnatvAt pratyaya izyate iti vfttikAroktiH
sp002-001290_RV_02	Iyate prApyate anena iti ayanam svastyayanam SuBAvahamASIrvAdam prayujya
sp002-001291_RV_02	tO dampatI sudakziRA dilIpO svAm rAjaDAnIm prati prasTApayAmAsa
sp002-001292_RV_02	pradakziRIkftyeti
sp002-001293_RV_02	nfpaH hutam havizA prajvalitam
sp002-001294_RV_02	hutamaSnAtIti hutASaH agniH
sp002-001295_RV_02	tam karmaRyaR
sp002-001296_RV_02	BartuH muneH anantaram
sp002-001297_RV_02	pradakziRAnantaram ityarTaH
sp002-001298_RV_02	arunDatIm ca savatsAm Denum ca pradakziRIkftya pragato dakziRam pradakziRam
sp002-001299_RV_02	tizWadgupraBftIni ca iti avyayIBAvaH
sp002-001300_RV_02	tataH cvipratyayaH
sp002-001301_RV_02	apradakziRam pradakziRam sampadyamAnam kftvA pradakziRIkftya sadBiH maNgalEH
sp002-001302_RV_02	pradakziRAdiBiH maNgalAcaraREH udagratarapraBAvaH san pratasTe
sp002-001303_RV_02	SrotrABirAmeti
sp002-001304_RV_02	DarmapatnIsahitaH sahizRuH vratAdiduHKasahanaSIlaH sa nfpaH
sp002-001305_RV_02	SrotrABirAmaDvaninA SravaRotsavasvanena anudGAtena pAzARAdyapratihatena
sp002-001306_RV_02	suKaH suKakaraH tena raTena svena pUrRena saPalena manoraTeneva mArgamaDvAnam yayO
sp002-001307_RV_02	manoraTapakze DvaniH SrutiH
sp002-001308_RV_02	anudGAtaH pratibanDanivfttiH
sp002-001309_RV_02	tamiti
sp002-001310_RV_02	adarSanena pravAsanimittena AhitOtsukyam janitadarSanotkaRWam
sp002-001311_RV_02	prajArTena santAnArTena vratena niyamena karSitam aNgam yasya tam navodayam navAByudayam
sp002-001312_RV_02	tam dilIpam prajAH tfptim anApnuvadBiH atigfDruBiH netrEH ozaDInAm nATam candramiva papuH
sp002-001313_RV_02	atyASayA dadfSuH ityarTaH
sp002-001314_RV_02	candrapakze adarSanam kalAkzayanimittam
sp002-001315_RV_02	prajArTam lokahitArTam
sp002-001316_RV_02	vratam devatAByaH kalAdAnaniyamaH tam ca somam papurdevAH paryAyeRAnupUrvaSaH iti vyAsaH
sp002-001317_RV_02	udayam avirBAvaH
sp002-001318_RV_02	anyatsamAnam
sp002-001319_RV_02	purandareti
sp002-001320_RV_02	puram purIm asurARAm dArayatIti purandaraH SakraH
sp002-001321_RV_02	puruhUtaH purandaraH ityamaraH
sp002-001322_RV_02	pUsarvayordArisahoriti Kac
sp002-001323_RV_02	vAcam yamapurandarO ca iti mumAgamo nipAtitaH
sp002-001324_RV_02	tasya SrIriva SrIryasya sa nfpaH pOrEH aBinandyamAnaH
sp002-001325_RV_02	utpatAkamucCritaDvajam
sp002-001326_RV_02	patAkA vEjayantI syAt ketanam DvajamastriyAm ityamaraH
sp002-001327_RV_02	puram praviSya BujaNgendreRa samAnasAre tulyabale sAro bale sTirAMSe ca nyAyye klIbam vare trizu ityamaraH
sp002-001328_RV_02	Buje BUyaH BUmeH Duram AsaMsaYja sTApitavAn
sp002-001329_RV_02	aTeti
sp002-001330_RV_02	aTa dyOH suravartma
sp002-001331_RV_02	dyOH svargasuravartmanoH iti viSvaH
sp002-001332_RV_02	atrermaharzarnayanAByAm samutTam utpannam AtaScopasarge iti kapratyayaH
sp002-001333_RV_02	tadjyotiriva candramiva fkzeSaH syAt atrinetraprasUtaH iti halAyuDaH
sp002-001334_RV_02	candrasya atrinetrodBUtatvam uktam harivaMSe
sp002-001335_RV_02	netrAByAm vAri susrAva daSaDA dyotayaddiSaH
sp002-001336_RV_02	tam garBam daSaDA hfzwA diSo devyo daDustataH
sp002-001337_RV_02	ityAdikam tatra drazwavyam
sp002-001338_RV_02	surasarit gaNgA vahninA nizWyUtam kziptam
sp002-001339_RV_02	nuttanunnAstanizWyUta vidDakzipteritAH samAH ityamaraH
sp002-001340_RV_02	ESam tejaH skandamiva
sp002-001341_RV_02	atra rAmAyaRam te gatvA parvatam rAma kElAsam DAtumaRqitam agnim niyojayAmAsuH putrArTam sarvadevatAH
sp002-001342_RV_02	devakAryamidam deva samADatsva hutASana SElaputryAm mahAtejo gaNgAyAm teja utsfja
sp002-001343_RV_02	devatAnAm pratijYAya gaNgAmaByetya pAvakaH garBam DAraya vE devi devatAnAmidam priyam
sp002-001344_RV_02	ityetadvacanam SrutvA divyam rUpamaDArayat sa tasyA mahimAm dfzwvA samantAdavaSIryata
sp002-001345_RV_02	samantatastu tAm devIm aByaziYcata pAvakaH sarvasrotAMsi pUrRAni gaNgAyA raGunandana
sp002-001346_RV_02	ityAdi
sp002-001347_RV_02	rAjYI sudakziRA narapaterdilIpasya kulaBUtyE santatilakzaRAyE guruBiH mahadBiH
sp002-001348_RV_02	lokapAlAnAm anuBAvEH tejoBiH aBinivizwam anupravizwam garBam ADatta
sp002-001349_RV_02	daDO ityarTaH
sp002-001350_RV_02	atra manuH azwAnAMlokapAlAnAm vapurDArayate nfpaH iti
sp002-001351_RV_02	atra ADatta ityanena strIkartfkaDAraRamAtramucyate
sp002-001352_RV_02	mAlinI vfttametat
sp002-001353_RV_02	nanamayayayuteyam mAlinI BogilokEH iti lakzaRAt
sp002-001354_RV_02	iti mahAmahopADyAyakolAcalamallinATasUrIviracitayA saYjIvinIsamAKyayA vyAKyayA sameto
sp002-001355_RV_02	mahAkaviSrIkAlidAsakftO raGuvaMSe mahAkAvye nandinIvarapradAno nAma dvitIyaH sargaH
sp002-001356_RV_05	tamiti
sp002-001357_RV_05	viSvajiti viSvajinnAmake aDvare yajYe
sp002-001358_RV_05	yajYaH savoऽDvaro yAgaH ityamaraH
sp002-001359_RV_05	niHSezam yaTA taTA viSrARitam dattam
sp002-001360_RV_05	SraRu dAne curAdiH
sp002-001361_RV_05	koSAnAm arTarASInAm jAtam samUho yena tam taToktam
sp002-001362_RV_05	koSoऽstrI kuqmale KaqgapiDAne arTOGadivyayorityamaraH
sp002-001363_RV_05	jAtam janisamUhayoriti SASvataH
sp002-001364_RV_05	etena kOtsasya anavasaraprAptattvam sUcayati
sp002-001365_RV_05	tam kzitISam raGum upAttavidyaH labDavidyaH varatantoH SizyaH kOtsaH
sp002-001366_RV_05	fziH fzyanDaka ityAdinA aR iYoऽpavAdaH
sp002-001367_RV_05	gurudakziRArTI san
sp002-001368_RV_05	puzkarAdiByo deSe ityatra arTAcca asannihite tadantAcca iti iniH
sp002-001369_RV_05	apratyAKyeya iti BAvaH
sp002-001370_RV_05	prapede prApa
sp002-001371_RV_05	asminsarge vfttamupajAtiH
sp002-001372_RV_05	lakzaRam tu syAdindravajrA yadi tO jagO gaH
sp002-001373_RV_05	upendravajrA jatajAstato gO
sp002-001374_RV_05	anantarodIritalakzmaBAjO pAdO yadIyA upajAtayastAH iti lakzaRAt
sp002-001375_RV_05	sa iti
sp002-001376_RV_05	anarGaSIlaH amUlyasvaBAvaH
sp002-001377_RV_05	asADAraRasvaBAva ityarTaH
sp002-001378_RV_05	mUlye pUjAviDAvargaH
sp002-001379_RV_05	SIlam svaBAve sadvftte iti ca amaraH
sp002-001380_RV_05	yaSasA kIrtyA
sp002-001381_RV_05	prakASata iti prakASaH
sp002-001382_RV_05	pacAdyac
sp002-001383_RV_05	atiTizu sADuH AtiTeyaH
sp002-001384_RV_05	paTyatiTivasatIti QaYpratyayaH
sp002-001385_RV_05	sa raGuH
sp002-001386_RV_05	hiraRyasya vikAro hiraRmayam
sp002-001387_RV_05	dARqinAyane ityAdinA nipAtaH
sp002-001388_RV_05	vItahiraRmayatvAt apagatasuvarRapAtratvAt
sp002-001389_RV_05	yajYasya sarvasvadakziRAkatvAditi BAvaH
sp002-001390_RV_05	mfRmaye mfdvikAre pAtre
sp002-001391_RV_05	arGArTamidam arGyam
sp002-001392_RV_05	pAdArGAByAm ceti yatpratyayaH
sp002-001393_RV_05	pUjArTam dravyam niDAya Srutena SAstreRa prakASam prasidDam
sp002-001394_RV_05	Srutam SAstrAvaDftayorityamaraH
sp002-001395_RV_05	prakASoti prasidDepi ityamaraH
sp002-001396_RV_05	atiTim aByAgatam kOtsam
sp002-001397_RV_05	atiTirnA gfhAgate ityamaraH
sp002-001398_RV_05	pratyujjagAma
sp002-001399_RV_05	tamiti
sp002-001400_RV_05	viDijYaH SAstrajYaH
sp002-001401_RV_05	akaraRe pratyavAyaBIrurityarTaH
sp002-001402_RV_05	mAnaDanAgrayAyi mAna eva Danam yezAm tezAm mAnaDanAnAm agrayAyi
sp002-001403_RV_05	agresaraH raGuH
sp002-001404_RV_05	kftyavit kAryajYaH
sp002-001405_RV_05	AgamanaprayojanamavaSyam prazwavyamiti kftyavit
sp002-001406_RV_05	viSAmpatiH manujeSvaraH
sp002-001407_RV_05	dvO viSO vESyamanujO ityamaraH
sp002-001408_RV_05	vizwaraBAjam Asanagatam
sp002-001409_RV_05	upavizwamityarTaH
sp002-001410_RV_05	vizwaro viwapI darBamuzwiH pIWAdyamAsanam ityamaraH
sp002-001411_RV_05	vfkzAsanayorvizwara iti nipAtaH
sp002-001412_RV_05	tam tapoDanam kOtsam viDivat viDyarham yaTASAstramityarTaH
sp002-001413_RV_05	tadarhamiti vatipratyayaH
sp002-001414_RV_05	arcayitvA ArAtsamIpe
sp002-001415_RV_05	ArAddUrasamIpayorityamaraH
sp002-001416_RV_05	kftAYjaliH san iti vakzyamARaprakAreRa uvAca
sp002-001417_RV_05	apyagraRIriti
sp002-001418_RV_05	he kuSAgrabudDe sUkzmabudDe
sp002-001419_RV_05	kuSAgrIyamatiH proktaH sUkzmadarSI ca yaH pumAn iti halAyuDaH
sp002-001420_RV_05	mantrakftAm mantrasrazwfRAm
sp002-001421_RV_05	sukarmapApamantretyAdinA kvip
sp002-001422_RV_05	fzIRAm agraRIH SrezWaH te tava guruH kuSalyapi kzemavAnkim apiH praSne
sp002-001423_RV_05	garhAsamuccayapraSnaSaNkAsamBAvanAsvapi ityamaraH
sp002-001424_RV_05	yataH yasmAdguroH tvayA aSezam jYAnam lokena uzRaraSmeH sUryAt cEtanyam praboDaH iva
sp002-001425_RV_05	Aptam svIkftam
sp002-001426_RV_05	kAyeneti
sp002-001427_RV_05	kAyena upavAsAdikfcCracAndrAyaRAdinA vAcA vedapAWena manasA gAyatrIjapAdinApi karaRena
sp002-001428_RV_05	vAsavasya indrasya DEryam lumpati BinattIti vAsavaDEryalopi
sp002-001429_RV_05	svapadApahAraSaNkAjanakamityarTaH
sp002-001430_RV_05	yattapaH SaSvat asakft
sp002-001431_RV_05	muhuH punaHpunaH SaSvat aBIkzRamasakftsamAH ityamaraH
sp002-001432_RV_05	samBftam saYcitam maharzeH varatantoH triviDam vANmanaHkAyajam tattapaH
sp002-001433_RV_05	antarAyEH viGnEH indraprezitApsaraHSApAdiBiH vyayam nASam nApAdyate kaccit
sp002-001434_RV_05	na nIyate kim
sp002-001435_RV_05	kaccit kAmapravedane viGnontarAyaH pratyUha iti cAmaraH
sp002-001436_RV_05	ADAreti
sp002-001437_RV_05	ADArabanDapramuKEH AlavAlanirmARAdiBiH prayatnErupAyEH
sp002-001438_RV_05	ADAra AlavAleऽmbubanDeऽDikaraReऽpi ca iti viSvaH
sp002-001439_RV_05	suteByo nirgato viSezoऽtiSayo yasminkarmaRi tattaTA sutanirviSezam avEzamyam yaTA taTA ityarTataH
sp002-001440_RV_05	saMvarDitAnAm SramacCidAm SramApanodakAnAm vaH yuzmAkam ASramapAdapAnAm ASramasTa vfkzARAm vAyvAdiH
sp002-001441_RV_05	AdigrahaRAt davAnala mattagajAdiH upaplavaH bADakaH na kaccit nAsti kim
sp002-001442_RV_05	kriyeti
sp002-001443_RV_05	kriyAnimittezu anuzWAnasADanezvapi kuSezu muniBiH vatsalatvAt mfgasnehAt aBagnakAmA apratihatecCA
sp002-001444_RV_05	tezAm munInAm aNkA eva SayyAH tAsu cyutAni nABinAlAni yasyAH sA taToktA
sp002-001445_RV_05	nAlo nAlamaTAstriyAm ityamaraH mfgIRAm prasUtiH santatiH anaGA avyasanA kaccit
sp002-001446_RV_05	anapAyinI kim ityarTaH
sp002-001447_RV_05	duHKEnovyasanezu aGamiti yAdavaH
sp002-001448_RV_05	te hi vyAlaBayAt daSarAtramaNka eva DArayanti
sp002-001449_RV_05	nirvartyata iti
sp002-001450_RV_05	yEH tIrTajalEH niyamABizekaH nityasnAnam nirvartyate nizpAdyate
sp002-001451_RV_05	yeByaH jaleByaH
sp002-001452_RV_05	udDftyeti SezaH
sp002-001453_RV_05	pitFRAm agnizvAttAdInAm nivApAYjalayaH tarpaRAYjalayaH
sp002-001454_RV_05	pitfdAnam nivApaH syAt ityamaraH
sp002-001455_RV_05	nirvartyante
sp002-001456_RV_05	uYCezu prakIrRodDftaDAnyezu uYCo nAma prakIrRAnAm DAnyAnAm ekEkaSaH udDaraRam
sp002-001457_RV_05	zazWEH zazWaBAgEH pAlakatvAt rAjagrAhyEH aNkitAni sEkatAni pulinAni yezAm tAni taToktAni
sp002-001458_RV_05	vaH yuzmAkam tAni tIrTajalAni SivAni BadrARi kaccit
sp002-001459_RV_05	anupaplavAni kim ityarTaH
sp002-001460_RV_05	uYCo DAnyAMSakAdAnam kaRiSAdyarjanam Silamiti yAdavaH
sp002-001461_RV_05	zazWAzwamAByAm Ya ca iti zazWaSabdAt BAgArTe anpratyayaH
sp002-001462_RV_05	ataeva apUraRArTatvAt pUrRaguRetyAdinA na zazWIsamAsapratizeDaH
sp002-001463_RV_05	sikatA yezu santi iti sEkatAni
sp002-001464_RV_05	sikatASarkarAByAm ca iti aR
sp002-001465_RV_05	nIvAreti
sp002-001466_RV_05	kAlezu yogyakAlezu upapannAnAm AgatAnAm atiTInAm kalpyAH BAgA yasya tattaToktam
sp002-001467_RV_05	vane Bavam vanyam
sp002-001468_RV_05	SarIrasTiteH jIvanasya sADanam vaH yuzmAkam
sp002-001469_RV_05	pacyata iti pAkaH Palam
sp002-001470_RV_05	DAnyamiti yAvat
sp002-001471_RV_05	nIvArasya pAkaH
sp002-001472_RV_05	tfRaDAnyam tadAdi nIvArapAkAdi AdiSabdAt SAmAkAdiDAnyasaNgrahaH
sp002-001473_RV_05	janapadeBya AgatEH jAnapadEH
sp002-001474_RV_05	tata AgataH iti aR pratyayaH
sp002-001475_RV_05	kaqaNgaram busam arhantIti kaqaNgarIyAH
sp002-001476_RV_05	kaqaNgaradakziRAt Ca ca iti CapratyayaH
sp002-001477_RV_05	kaqaNgaro busam klIbe DAnyatvaci tuzaH pumAn ityamaraH
sp002-001478_RV_05	tEH gomahizAdiBiH nAmfSyate kaccit
sp002-001479_RV_05	na Bakzyate kim ityarTaH
sp002-001480_RV_05	apIti
sp002-001481_RV_05	kiYca tvam prasannena maharziRA varatantunA samyak vinIya SikzayitvA
sp002-001482_RV_05	vidyAmupadiSyetyarTaH
sp002-001483_RV_05	gfhAya gfhasTASramam pravezwum
sp002-001484_RV_05	kriyArTopapadetyAdinA caturTI
sp002-001485_RV_05	anumatopi anujYAtaH kim
