sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-005748_RV_17	yaTAkramam ASramEH tapasaH varREH sampadAm ca zazWAMSaBAk kftaH ityarTaH
sp003-005749_RV_17	zazWomऽSaH zaqaMSaH
sp003-005750_RV_17	saNKyASabdasya vfttivizaye pUraRArTatvam uktam prAk
sp003-005751_RV_17	KaniBiriti
sp003-005752_RV_17	BUH BUmiH tasmE rAjYe rakzAsadfSam rakzaRAnurUpameva vetanam Bftim dideSa dadO
sp003-005753_RV_17	kaTam
sp003-005754_RV_17	KaniBiH AkarEH
sp003-005755_RV_17	KaniH striyAm AkaraH syAt ityamaraH
sp003-005756_RV_17	ratnam mARikyAdikam suzuve ajIjanat
sp003-005757_RV_17	kzetrEH sasyam
sp003-005758_RV_17	vanEH gajAn hastinaH suzuve
sp003-005759_RV_17	sa iti
sp003-005760_RV_17	zaRmuKavikramaH saH rAjA zaRRAm guRAnAm sanDivigrahAdInAm balAnAm mUlaBftyaDinAm ca
sp003-005761_RV_17	sADanIyezu vastuzu sADyezu arTezu viniyogam jAnAtIti
sp003-005762_RV_17	viniyogasya jYaH iti vA viniyogajYaH
sp003-005763_RV_17	karmavivakzAyAm upapadasamAsaH
sp003-005764_RV_17	Atoऽnupasarge kaH iti kapratyayaH
sp003-005765_RV_17	SezavivakzAyAm zazWIsamAsaH
sp003-005766_RV_17	igupaDa ityAdinA kapratyayaH
sp003-005767_RV_17	baBUva
sp003-005768_RV_17	idamatra prayoktavyam ityAdyajYAsIt ityarTaH
sp003-005769_RV_17	itIti
sp003-005770_RV_17	iti caturviDAm
sp003-005771_RV_17	sAmAdyupAyEH iti SezaH
sp003-005772_RV_17	rAjanItim daRqanItim kramAt sAmAdikramAdeva prayuYjAnaH saH rAjA AtIrTAt mantryAdyazwAdaSAtmakatIrTaparyantam
sp003-005773_RV_17	yonO jalAvatAre ca mantryAdyazwAdaSasvapi
sp003-005774_RV_17	puRyakzetre taTA pAtre tIrTam syAt iti halAyuDaH
sp003-005775_RV_17	tasyAH nIteH Palam apratIGAtam apratibanDam yaTA taTA AnaSe prAptavAn
sp003-005776_RV_17	mantryAdizu yam uddiSya yaH upAyaH prayujyate saH tasya PalatItyarTaH
sp003-005777_RV_17	kUweti
sp003-005778_RV_17	kUwayudDaviDijYeऽpi kapawayudDaprakArABijYeऽpi sanmArgeRa yoDini DarmayodDari tasmin
sp003-005779_RV_17	atiTO vIragAminI jayaSrIH aBisArikAvfttim Beje
sp003-005780_RV_17	kAntArTinI tu yA yAti saNketam sABisArikA ityamaraH
sp003-005781_RV_17	jayaSrIH tam anvizya AgacCat ityarTaH
sp003-005782_RV_17	prAya iti
sp003-005783_RV_17	arIRAm sarvezAmapi pratApena atitejasEva BagnatvAt tasya rAjYaH
sp003-005784_RV_17	ganDena madaganDenEva BinnAH BagnAH anye dantinaH yena tasya ganDadvipasyeva
sp003-005785_RV_17	prAyaH prAyeRa raRaH durlaBaH
sp003-005786_RV_17	KalarTayogeऽpi SezavivakzAyAm pazWImicCantIti uktam
sp003-005787_RV_17	pravfdDAviti
sp003-005788_RV_17	pravfdDO satyAm candraH hIyate
sp003-005789_RV_17	samudroऽpi taTAviDaH candravadeva pravfdDO hIyate
sp003-005790_RV_17	pravfdDaH iti vA pAWaH
sp003-005791_RV_17	saH rAjA tu tAByAm candrasamudrAByAm samA vfdDiH yasya saH tatsamavfdDiSca aBUt
sp003-005792_RV_17	tO candrasamudrAviva kzayI
sp003-005793_RV_17	jidfkzi ityAdinA inipratyayaH
sp003-005794_RV_17	nABUt
sp003-005795_RV_17	santa iti
sp003-005796_RV_17	atyarTam kfSAH daridrAH ata eva arTinaH yAcanaSIlAH santaH vidvAMsaH mahataH tasya rAjYaH aBigamanAt
sp003-005797_RV_17	udaDeH aBigamanAt jImUtAH iva dAtftvam prApuH
sp003-005798_RV_17	arTizu dAnaBogaparyAptam Danam prayacCati ityarTaH
sp003-005799_RV_17	stUyamAna iti
sp003-005800_RV_17	saH rAjA stutyam stotrArhameva yat tadeva samAcaran ata eva stUyamAnaH san
sp003-005801_RV_17	jihrAya lalajja
sp003-005802_RV_17	taTApi hrIRatveऽpi tatkAriRaH stotrakAriRaH dvezwIti tatkAridveziRaH tasya rAjYaH yaSaH vavfDe
sp003-005803_RV_17	guRAQyasya sataH puMsaH stutO lajjeva BUzaRam iti BAvaH
sp003-005804_RV_17	duritamiti
sp003-005805_RV_17	saH rAjA
sp003-005806_RV_17	uditaH sUryaH iva
sp003-005807_RV_17	darSanena duritam Gnan nivartayan
sp003-005808_RV_17	taTA ca smaryate agnicitkapilA satrI rAjA BikzurmahodaDiH
sp003-005809_RV_17	dfzwamAtrAH punantyete tasmAtpaSyeta nityaSaH
sp003-005810_RV_17	iti
sp003-005811_RV_17	tattvasya vastutattvasya arTena samarTanena ca tamaH ajYAnam
sp003-005812_RV_17	DvAntam ca nudan SaSvat prajAH svatantrayAYcakre svADInAScakAra
sp003-005813_RV_17	indoriti
sp003-005814_RV_17	indoH aMSavaH padme agatayaH
sp003-005815_RV_17	praveSarahitAH ityarTaH
sp003-005816_RV_17	sUryasyA aMSavaH kumude agatayaH
sp003-005817_RV_17	guRinaH tasya guRAstu vipakze SatrAvapi antaram avakASam leBire prApuH
sp003-005818_RV_17	pareti
sp003-005819_RV_17	aSvameDAya jigIzoH asya vicezwitam digvijayarUpam yadyapi parABisanDAnaparam
sp003-005820_RV_17	SatruvaYcanapraDAnam taTApi tadDarmyam DarmAt anapetameva
sp003-005821_RV_17	DarmapaTyarTanyAyAdanapete iti yatpratyayaH
sp003-005822_RV_17	baBUva
sp003-005823_RV_17	mantrapraBAvotsAhaSaktiBiH parAnsandaDyAt iti kOwilyaH
sp003-005824_RV_17	evamiti
sp003-005825_RV_17	evam SAstranirdizwavartmanA SAstropadizwamArgeRa praBAveRa koSadaRqajena tejasA
sp003-005826_RV_17	sa praBAvaH pratApaSca yattejaH koSadaRqajam ityamaraH
sp003-005827_RV_17	udyan udyuYjAnaH
sp003-005828_RV_17	saH vfzA vAsavaH devAnAm devaH devadevaH iva rAjYAm rAjA rAjarAjaH baBUva
sp003-005829_RV_17	paYcamamiti
sp003-005830_RV_17	tam rAjAnamiti SezaH
sp003-005831_RV_17	sADarmyayogataH yaTAkramam lokasaMrakzaRa paropakAra BUDAraRarUpa samAnaDarmatvabalAt lokapAlAnAm indrAdInAm caturRAm paYcamam UcuH
sp003-005832_RV_17	diSAm catuzkapakze lokapAlAH catvAraH eva
sp003-005833_RV_17	catasraH kIrtayedazwO daSavA kakuBaH kvacit iti vAgBawe
sp003-005834_RV_17	kulAcalAnAm mahendramalayAdInAm saptAnAm azwamam UcuH
sp003-005835_RV_17	dUreti
sp003-005836_RV_17	BUpAlAH
sp003-005837_RV_17	SAsanezu patrezu arpitAm upanyastAm tasya rAjYaH AjYAm
sp003-005838_RV_17	devAH pOrandarIm EndrIm AjYAm iva
sp003-005839_RV_17	dUrApavarjitacCatrEH dUrAt parihftAtapatrEH SiroBiH daDuH
sp003-005840_RV_17	ftvija iti
sp003-005841_RV_17	saH rAjA mahAkratO aSvameDe ftvijaH yAjakAn dakziRABiH taTA Anarca ArcayAmAsa
sp003-005842_RV_17	arcateH BOvAdikAt liw
sp003-005843_RV_17	yaTA asya rAjYaH Danadasya ca nAma sADAraRIBUtam ekIBUtam
sp003-005844_RV_17	uBayorapi DanadasaYjYA yaTA syAt taTA ityarTaH
sp003-005845_RV_17	indrAditi
sp003-005846_RV_17	indrAt vfzwiH aBUt
sp003-005847_RV_17	yamaH niyamitA nivAritA gadasya rogasya udrekaH eva vfttiH yena saH aBUt
sp003-005848_RV_17	yAdonATaH varuRaH nOcarARAm nAvikAnAm karmaRe saYcArAya SivajalapaTaH sucarajalamArgaH aBUt
sp003-005849_RV_17	tadanu pUrvApekzI raGurAmAdimahimABijYaH kuberaH kozavfdDim vidaDe
sp003-005850_RV_17	itTam lokapAlAH tasmin rAjYi vizaye daRqopanatasya SaraRAgatasya caritam vfttim Bejire
sp003-005851_RV_17	durbalo balavatsevI virudDAcCaNkitAdiBiH
sp003-005852_RV_17	varteta daRqopanato BartaryevamavasTitaH
sp003-005853_RV_17	iti kOwilyaH
sp003-005854_RV_17	iti mahAmahopADyAyakolAcalamallinATasUriviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp003-005855_RV_17	mahAkaviSrIkAlidAsakftO raGuvaMSe mahAkAvye atiTivarRano nAma saptadaSaH sargaH
sp003-005856_RV_18	sa iti
sp003-005857_RV_18	nizidDaSatruH nivArita ripuH saH atiTiH nEzaDasya nizaDadeSADISvarasya arTapateH
sp003-005858_RV_18	rAjYaH sutAyAm nizaDAt nizaDAKyAt nagendrAt parvatAt anUnasAram anyonabalam putram utpAdayAmAsa
sp003-005859_RV_18	yam putram nizaDAKyam nizaDanAmakam eva AhuH
sp003-005860_RV_18	teneti
sp003-005861_RV_18	uruvIryeRa atiparAkrameRA ata eva prajAyE lokarakzaRArTam kalpizyamARena tena yUnA
sp003-005862_RV_18	nizaDena pitA atiTiH suvfzwiyogAt sampattiPalonyaKena pAkonmuKena sasyena jIvalokaH iva
sp003-005863_RV_18	nananda jaharza
sp003-005864_RV_18	SabdAdIti
sp003-005865_RV_18	kumudvatyAH apatyam pumAn kOmudvateyaH atiTiH SabdAdi SabdasparSAdi suKam suKasADanam
sp003-005866_RV_18	vizayavargam nirviSya upaBujya cirAya tasmin nizaDAKye putre pratizWApitarAjaSabdaH dattarAjyaH san
sp003-005867_RV_18	kumadAvadAtEH nirmalEH karmaBiH aSvameDAdiBiH arjitAm sampAditAm dyAm svargam Aruroha
sp003-005868_RV_18	pOtra iti
sp003-005869_RV_18	kuSeSayAkzaH SatapatralocanaH
sp003-005870_RV_18	Satapatram kuSeSayam ityamaraH
sp003-005871_RV_18	sAgaraDIracetAH samudragamBIracittaH ekavIraH asahAyaSUraH purasya argalA kapAwavizkamBaH
sp003-005872_RV_18	tadvizkamBoऽrgalam na nA ityamaraH
sp003-005873_RV_18	tadvat dIrGaBujaH kuSasya pOtraH nizaDoऽpi sasAgarAm ekAtapatrAm Buvam buBoja pAlayAmAsa
sp003-005874_RV_18	Bujoऽnavane iti niyamAt parasmEpadam
sp003-005875_RV_18	tasyeti
sp003-005876_RV_18	analOjAH nalABiDAnaH nalAKyaH tasya nizaDasya tanayaH tasya
sp003-005877_RV_18	nizaDasya ante avasAne vaMSaSriyam rAjyalakzmIm prApa
sp003-005878_RV_18	nalinABavaktraH yaH nalaH
sp003-005879_RV_18	gajaH naqvalAni naqaprAyasTalAnIva
sp003-005880_RV_18	naqaSAdAt qvalac iti qvalacpratyayaH
sp003-005881_RV_18	parezAm balAni amfdnAt mamarda
sp003-005882_RV_18	naBa iti
sp003-005883_RV_18	naBaScarEH ganDarvAdiBiH gItayaSAH saH nalaH naBastalaSyAmatanum
sp003-005884_RV_18	naBaHSabdamayena nAmnA KyAtam
sp003-005885_RV_18	naBaHSabdasaYjYakam ityarTaH
sp003-005886_RV_18	naBomAsamiva SrAvaRamAsamiva
sp003-005887_RV_18	prajAnAm kAntam priyam tanUjam putram leBe
sp003-005888_RV_18	tasmA iti
sp003-005889_RV_18	DarmottaraH DarmapraDAnaH saH nalaH praBave samarTAya tasmE naBase taduttarakosalAnAm
sp003-005890_RV_18	praButvam ADipatyam visfjya dattvA jarasA jarayA upadizwam
sp003-005891_RV_18	vArDake cikIrzitam ityarTaH
sp003-005892_RV_18	mfjEH ajaryam tEH saha saNgatam
sp003-005893_RV_18	ajaryam saNgatam iti nipAtaH
sp003-005894_RV_18	punaradehabanDAya punardehasambanDanivfttaye babanDa
sp003-005895_RV_18	mokzArTam vanam gataH ityarTaH
sp003-005896_RV_18	adehabanDAya ityatra prasajyapratizeDeऽpi naYsamAsaH izyate
sp003-005897_RV_18	teneti
sp003-005898_RV_18	tena naBasA
sp003-005899_RV_18	dvipAnAm puRqarIkaH diggajaviSezaH iva
sp003-005900_RV_18	rAjYAm ajayyaH jetum aSakyaH
sp003-005901_RV_18	kzayyajayyO SakyArTe iti nipAtanAtsADuH
sp003-005902_RV_18	puRqarIkaH puRqarIkAKyaH putraH ajani janitaH
sp003-005903_RV_18	pitari SAnte svargam gate sati
sp003-005904_RV_18	AhftapuRqarIkA gfhItaSvetapadyA SrIH yam puRqarIkam puRqarIkAkzam vizRum iva SritA
sp003-005905_RV_18	sa iti
sp003-005906_RV_18	amoGam DanuH yasya saH amoGaDanvA
sp003-005907_RV_18	DanuzaSca ityanaNAdeSaH samAsAntaH
sp003-005908_RV_18	saH puRqarIkaH prajAnAm kzemaviDAne dakzam kzamayA upapannam
sp003-005909_RV_18	kzAntiyuktam kzemam DanuH yasya tam kzemaDanvAnam nAma putram
sp003-005910_RV_18	vA saYjYAyAm ityanaNAdeSaH
sp003-005911_RV_18	kzmAm lamBayitvA prApayya
sp003-005912_RV_18	laBergatyarTatvAt dvikarmakatvam
sp003-005913_RV_18	kzAntataraH atyantasahizRuH san vane tapaScacAra
sp003-005914_RV_18	anIkinInAmiti
sp003-005915_RV_18	tasya kzemaDanvanoऽpi samare anIkinInAm camUnAm agrayAyI devapratimaH indrAdikalpaH sutaH aBUt
sp003-005916_RV_18	anIkapadAvasAnam anIkaSabdAntam devAdi devaSabdapUrvam yasya nAma devAnIkaH iti nAmaDeyam tridive svargeऽpi vyaSrUyata viSrutam
sp003-005917_RV_18	piteti
sp003-005918_RV_18	saH pitA kzemaDanvA samArADanatatpareRa SuSrUzamARena tena putreRa yaTEva
sp003-005919_RV_18	putrI baBUva taTEva saH putraH devAnIkaH Atmajavatsalena tena pitrA pitfmAn baBUva
sp003-005920_RV_18	loke pitftvaputratvayoH Palam anayoreva AsIt ityarTaH
sp003-005921_RV_18	pUrva iti
sp003-005922_RV_18	guRAnAm ekaniDiH yajvA viDivat izwavAm tayoH pitfputrayoH maDye pUrvaH pitA kzemaDanvA Atmasame
sp003-005923_RV_18	svatulye AtmodBave putre devAnIke ciroQAm ciram DftAm varRacatuzwayasya Duram rakzABAram niDAya yajamAnalokam yazwflokam nAkam jagAma
sp003-005924_RV_18	vaSIti
sp003-005925_RV_18	tasya devAnIkasya vaSI samarTaH sutaH ahInagurnAmeti vakzyamARanAmakaH
sp003-005926_RV_18	vaSam vaSakaram maDuram vadatIti vaSaMvadaH
sp003-005927_RV_18	priyavaSe vadaH Kac iti KacpratyayaH
sp003-005928_RV_18	tasya BAvaH tattvam
sp003-005929_RV_18	tasmAt izwavAditvAt svezAmiva dvizatAm api izwaH priyaH AsIt
sp003-005930_RV_18	arTAdeva anIkanirDAraRam laByate
sp003-005931_RV_18	taTAhi
sp003-005932_RV_18	prayuktam uccAritam mADuryam sakft ekavAram vivignAn
sp003-005933_RV_18	BItAnapi hariRAn grahItum vaSIkartum Izwe Saknoti
sp003-005934_RV_18	ahInaguriti
sp003-005935_RV_18	ahInabAhudraviRaH samagraBujaparAkramaH
sp003-005936_RV_18	draviRam kAYcanam vittam draviRam ca parAkramaH iti viSvaH
sp003-005937_RV_18	hInasaMsargaparANmuKatvAt nIcasaMsargavimuKatvAdDetoH yuvApi anarTEH anarTakarEH vyasanEH
sp003-005938_RV_18	pAnadyUtAdiBiH vihInaH rahitaH yaH ahInagurnAma saH pUrvoktaH devAnIkasutaH samagrAm sarvAm gAm Buvam SaSAsa
sp003-005939_RV_18	guroriti
sp003-005940_RV_18	puMsAm antarajYaH viSezajYaH caturaH nipuRaH saH ahInaguSca guroH pituH anantaram
sp003-005941_RV_18	avatIrRaH Buvam prAptaH AdyaH pumAn vizRuH iva
sp003-005942_RV_18	asKalitEH apratihatEH caturBiH upakramEH sAmAdyupAyEH
sp003-005943_RV_18	sAmAdiBirupakramEH iti manuH
sp003-005944_RV_18	caturdigISaH catasfRAm diSAm ISaH baBUva
sp003-005945_RV_18	tasminniti
sp003-005946_RV_18	arIRAm jetari tasmin ahInagO paralokayAtrAm prayAte prApte sati
sp003-005947_RV_18	uccEHSirastvAt unnataSiraskatvAt jitaH pAriyAtraH kulaSElaviSezaH yena tam
sp003-005948_RV_18	pAriyAtram pAriyAtrAKyam tadIyam tanayam lakzmIH rAjyalakzmIH sizeve kila
sp003-005949_RV_18	tasyeti
sp003-005950_RV_18	tasya pAriyAtrasya udAraSIlaH mahAvfttaH
sp003-005951_RV_18	SIlam svaBAve sadvftte ityamaraH
sp003-005952_RV_18	SilApawwaviSAlavakzAH SilaH SilAKyaH sUnuH aBavat
sp003-005953_RV_18	yaH sUnuH SilImuKEH bAREH
sp003-005954_RV_18	alibARO SilImuKO ityamaraH
sp003-005955_RV_18	jitAripakzoऽpi IqyamAnaH stUyamAnaH san
sp003-005956_RV_18	SAlInatAm aDfzwatAm lajjAm avrajat agacCat
sp003-005957_RV_18	syAdaDfzwe tu SAlInaH ityamaraH
sp003-005958_RV_18	SAlInakOpIne aDfzwAkAryayoH iti nipAtaH
sp003-005959_RV_18	tamiti
sp003-005960_RV_18	aninditAtmA agarhitasvaBAvaH saH pAriyAtraH Atmasampannam budDisampannam
sp003-005961_RV_18	AtmA yatno DftirbudDiH svaBAvo brahma varzma ca ityuBayatrApi amaraH
sp003-005962_RV_18	yuvAnam tam Silam yuvarAjam kftvEva suKAni aBuNkta
sp003-005963_RV_18	na tu akftvA ityevakArArTaH
sp003-005964_RV_18	kimarTam yuvarAjaSabdakaraRam ityASaNkya anyaTA suKopaBogaH durlaBaH ityAha suKoparoDIti
sp003-005965_RV_18	hi yasmAt rAjYAm vfttam prajApAlanAdirUpam suKoparoDi bahulatvAt suKapratibanDakam
sp003-005966_RV_18	ata eva uparudDavfttam
sp003-005967_RV_18	uparudDasadfSam ityarTaH
sp003-005968_RV_18	uparudDaH kArAdibadDaH uparudDasya svayam UQaBArasya ca suKam nAstIti BAvaH
sp003-005969_RV_18	tamiti
sp003-005970_RV_18	rAgam baDnantIti rAgabanDinaH
sp003-005971_RV_18	rAgapravartakAH ityarTaH
sp003-005972_RV_18	tezu Bogezu vizayezu avitfptameva santam
sp003-005973_RV_18	kiYca vilAsinInAm BoktrIRAm sOBAgyaviSezeRa sOndaryAtiSayena hetunA Bogyam BogArham
sp003-005974_RV_18	cajoH ku GiRyatoH iti kutvam
sp003-005975_RV_18	tam pAriyAtram ratikzamA na BavatIti aratikzamA api ata eva matsariRI
sp003-005976_RV_18	ratikzamAsu vilAsinIzu ityarTaH
sp003-005977_RV_18	jarA jahAra vaSIcakAra
sp003-005978_RV_18	unnABa iti
sp003-005979_RV_18	tasya SilAKyasya unnABaH iti udgatanAmaDeyaH prasidDanAmA ayaTArTam yaTAtaTA unnatam nABiranDram yasya saH
sp003-005980_RV_18	gamBIranABiH ityarTaH
sp003-005981_RV_18	taduktam svaraH sattvam ca nABiSca gAmBIryam trizu Sisyate
sp003-005982_RV_18	paNkajanABakalpaH vizRusadfSaH kftsnasya nfpamaRqalasya nABiH praDAnam
sp003-005983_RV_18	nABiH praDAne kastUrImadeऽpi kvacidIritaH iti viSvaH
sp003-005984_RV_18	sutaH aBavat
sp003-005985_RV_18	acpratyadvavapUrvAtsAmalomnaH ityatra ajit yogaviBAgAt unnABavajranABAdayaH sidDAH
sp003-005986_RV_18	tata iti
sp003-005987_RV_18	tataH param vajraDarapraBAvaH indratejAH saMyati saNgrAme vajraGozaH aSanitulyaDvaniH vajraRABaH nAma
sp003-005988_RV_18	tasya unnABasya AtmajaH vajrARAm hIrakARAm AkarAH KanayaH eva BUzaRAni yasyAH tasyAH pfTivyAH patiH baBUva kila Kalu
sp003-005989_RV_18	vajram tvastrI kuliSaSastrayoH
sp003-005990_RV_18	maRiveDe ratnaBede pyaSanAvAsanAntare
sp003-005991_RV_18	iti keSavaH
sp003-005992_RV_18	tasminniti
sp003-005993_RV_18	tasmin vajraRABe sukftopalabDAm suDarmArjitAm dyAm svargam gate sati
sp003-005994_RV_18	utKAtaSatrum udDftaSatrum SaNKaRam nAma tatsamBavam tadAtmajam arRavAntA
sp003-005995_RV_18	vasuDA KaniByaH AkareByaH uditEH utpannEH ratnopahArEH utkfzwavastusamarpaREH upatasTe sizeve
sp003-005996_RV_18	jAtO jAtO yadutkfzwam tadratnamaBiDIyate iti BarataviSvO
sp003-005997_RV_18	tasyeti
sp003-005998_RV_18	tasya SaNKaRasya avasAne ante haridaSvaDAmA sUryatejAH
sp003-005999_RV_18	aSvinoriva rUpam asya iti aSvirUpaH atisundaraH
sp003-006000_RV_18	tatputraH iti SezaH
sp003-006001_RV_18	pitryam iti sambanDipadasAmarTyAt
sp003-006002_RV_18	pitryam padam prapede
sp003-006003_RV_18	velAtawwezu uzitAH nivizwAH sEnikAH aSvASca yasya tam
sp003-006004_RV_18	anvarTanAmAnam ityarTaH
sp003-006005_RV_18	yam putram purAvidaH vfdDAH vyuzitASvam AhuH
sp003-006006_RV_18	ArADyeti
sp003-006007_RV_18	tena kziteH ISvareRa vyuzitASvena viSveSvaram kASIpatim ArADya upAsya viSvasahaH
sp003-006008_RV_18	nAma viSvasaKaH samagrAm sarvAm viSvamBarAm Buvam pAtum rakzitum sahate iti sahaH kzamaH
sp003-006009_RV_18	pacAdyac
sp003-006010_RV_18	AtmajamUrtiH putrarUpI AtmA svayameva
sp003-006011_RV_18	AtmA vE putranAmAsi iti SruteH
sp003-006012_RV_18	vijajYe suzuve
sp003-006013_RV_18	vipUrvaH janiH garBavimocane vartate
sp003-006014_RV_18	yaTAha BagavAnpARiniH samAm samAm vijAyate iti
sp003-006015_RV_18	aMSa iti
sp003-006016_RV_18	nayajYaH nItijYaH saH viSvasahaH
sp003-006017_RV_18	hiraRyAkzaripoH vizRoH aMSe hiraRyanABe tannAmni tanaye jAte sati
sp003-006018_RV_18	tarURAm sAnilaH hiraRyaretAH hutaBugiva dvizAm sutarAm asahyaH aBUt
sp003-006019_RV_18	piteti
sp003-006020_RV_18	pitFRAm anfRaH
sp003-006021_RV_18	nivfttapitFRaH ityarTaH
sp003-006022_RV_18	prajayA pitfByaH iti SruteH
sp003-006023_RV_18	ata eva kftI
sp003-006024_RV_18	kftakftyaH ityarTaH
sp003-006025_RV_18	pitA viSvasahaH ante vayasI vArDaka anantAni avinASAni suKAni lipsuH
sp003-006026_RV_18	mumukzuH ityarTaH
sp003-006027_RV_18	AjAnuvilambibAhum dIrGabAhum
sp003-006028_RV_18	BAgyasampannam iti BAvaH
sp003-006029_RV_18	tam hiraRyanABam rAjAnam kftvA valkalavAn baBUva
sp003-006030_RV_18	vanam gataH ityarTaH
sp003-006031_RV_18	kOsalya iti
sp003-006032_RV_18	uttarakosalAnAm patyuH pataNgAnvayaBUzaRasya sUryavaMSABaraRasya somasutaH somam sutavataH
sp003-006033_RV_18	yajvanaH ityarTaH
sp003-006034_RV_18	some suYaH iti kvip
sp003-006035_RV_18	tasya hiraRyanABasya
sp003-006036_RV_18	dvitIyaH somaH candraH iva
sp003-006037_RV_18	netrotsavaH nayanAnandakaraH kOsalyaH iti prasidDaH OrasaH DarmapatnIjaH sutaH aBUt
sp003-006038_RV_18	yaSoBiriti
sp003-006039_RV_18	A brahmasaBAyAH AbrahmasaBam brahmasadanaparyantam
sp003-006040_RV_18	aBiviDO avyayIBAvaH
sp003-006041_RV_18	yaSoBiH prakASaH prasidDaH saH kOsalyaH atiSayena brahmavantam brahmizWam
sp003-006042_RV_18	brahmavidam ityarTaH
sp003-006043_RV_18	brahmaSabdAt matubantAt izWanpratyaye vinmatorluk iti matupaH luk
sp003-006044_RV_18	nastadDite iti wilopaH
sp003-006045_RV_18	brahmizWam brahmizwAKyam svatanuprasUtam svAtmajameva nije svakIye
sp003-006046_RV_18	aDikAre prajApAlanakftye ADAya niDAya
sp003-006047_RV_18	brahmaRaH BAvaH brahmaBUyam brahmatvam tadeva gatiH tAm AjagAma
sp003-006048_RV_18	muktaH aBUt ityarTaH
sp003-006049_RV_18	syAdbrahmaBUyam brahmatvam ityamaraH
sp003-006050_RV_18	Buvo BAve iti kyap
sp003-006051_RV_18	tasminniti
sp003-006052_RV_18	kulApIqaniBe kulaSeKaratulye
sp003-006053_RV_18	vEkakzakam tu tat
sp003-006054_RV_18	yattiryak kziptamurasi SiKAsvApIqaSeKarO
sp003-006055_RV_18	ityamaraH
sp003-006056_RV_18	suprajasi satsantAnavati
sp003-006057_RV_18	nityamasicprajAmeDayoH ityasicpratyayaH
sp003-006058_RV_18	tasmin prajeSe prajeSvare brAhmizWe SAsanANkAm SAsanacihnAm
sp003-006059_RV_18	mahIm vipIqam nirbADam yaTA taTA samyakSAsati sati
sp003-006060_RV_18	AnandajalAvilAkzyaH AnandabAzpAkulanetrAH prajAH ciram nananduH
sp003-006061_RV_18	pAtrIkfteti
sp003-006062_RV_18	gurusevanena pitrAdiSuSrUzayA pAtrIkftAtmA yogyIkftAtmA
sp003-006063_RV_18	yogyaBAjanayoH pAtram ityamaraH
sp003-006064_RV_18	pattraraTendraketoH garuqaDvajasya spazwAkftiH spazwavapuH
sp003-006065_RV_18	tatsarUpaH ityarTaH
sp003-006066_RV_18	AkftiH kaTitA rUpe sAmAnyavapuzorapi iti viSvaH
sp003-006067_RV_18	puzkarapatranetraH padmadalAkzaH putraH putrAKyaH rAjA
sp003-006068_RV_18	yadvA putraSabdaH AvartanIyaH
sp003-006069_RV_18	putraH putrAKyaH putraH sutaH
sp003-006070_RV_18	tam brahmizWam putriRAm agrasaNKyAm samAropayat
sp003-006071_RV_18	agragaRyam cakAra ityarTaH
sp003-006072_RV_18	vaMSeti
sp003-006073_RV_18	spfSyante iti sparSAH vizayAH
sp003-006074_RV_18	teByaH nivfttalOlyaH nivfttatfzRaH
sp003-006075_RV_18	ata eva maGonaH indrasya saKA mittram BAvI Bavizyan
sp003-006076_RV_18	svargam jigamizuH ityarTaH
sp003-006077_RV_18	saH brahmizWaH vaMSakareRa vaMSapravartakena tena putreRa vaMSasTitim kulapratizwAm
sp003-006078_RV_18	samBAvya sampAdya trizu puzkarezu tIrTaviSezezu
sp003-006079_RV_18	diksaNKye saYjYAyAm iti samAsaH
sp003-006080_RV_18	upaspfSan snAnam kurvan tridaSatvam devaBUyam Apa
sp003-006081_RV_18	tasyeti
sp003-006082_RV_18	tasya putrAKyasya patnI pOzyAm puzyanakzatrayuktAyAm pOrRamAsyAm tiTO
sp003-006083_RV_18	puzyayuktA pOrRamAsI pOzI ityamaraH
sp003-006084_RV_18	nakzatreRa yuktaH kAlaH ityaRpratyayaH wiqQARaY ityAdinA NIp
sp003-006085_RV_18	praBayA nirjitaH puzparAgaH maRiviSezaH yena tam puzyam puzyAKyam asUta
sp003-006086_RV_18	dvitIye puzye puzyanakzatra iva tasmin udite sati janAH samagrAm puzwim vfdDim apuzyan
sp003-006087_RV_18	mahImiti
sp003-006088_RV_18	mahecCaH mahASayaH
sp003-006089_RV_18	mahecCastu mahASayaH ityamaraH
sp003-006090_RV_18	janmaBIruH saMsAraBIruH saH putraH sUnO mahIm
sp003-006091_RV_18	parikIrya visfjya manIziRe brahmavidyAviduze jEminaye munaye arpitAtmA
sp003-006092_RV_18	SizyaBUtaH san ityarTaH
sp003-006093_RV_18	sayogAt yoginaH tasmAt jEmineH yogam yogavidyAm
sp003-006094_RV_18	aDigamya ajanmane janmanivfttaye mokzAya akalpata samapadyata
sp003-006095_RV_18	kfpeH sampadyamAne caturTI vaktavyA
sp003-006096_RV_18	muktaH aBUt ityarTaH
sp003-006097_RV_18	tata iti
sp003-006098_RV_18	tataH param saH puzyaH praBavaH kAraRam yasya saH tatpraBavaH
sp003-006099_RV_18	tadAtmajaH ityarTaH
sp003-006100_RV_18	DruveRa OttAnapAdinA upameyaH
sp003-006101_RV_18	Druva OttAnapAdiH syAt ityamaraH
